dt      ,x        ,y        ,position ,velocity,acceleration,jerk       ,heading
0.020000,5.750255 ,14.750000,0.000057 ,0.005668,0.283424    ,14.171216  ,6.282981
0.020000,5.750246 ,14.750000,0.000066 ,0.000467,-0.260062   ,-27.174316 ,6.282989
0.020000,5.750225 ,14.750000,0.000087 ,0.001051,0.029194    ,14.462781  ,6.283006
0.020000,5.750187 ,14.750000,0.000124 ,0.001868,0.040845    ,0.582576   ,6.283036
0.020000,5.750129 ,14.750000,0.000183 ,0.002917,0.052457    ,0.580588   ,6.283082
0.020000,5.750045 ,14.750000,0.000267 ,0.004197,0.064004    ,0.577332   ,6.283149
0.020000,5.751617 ,14.750000,0.001838 ,0.078588,3.719526    ,182.776120 ,0.000055
0.020000,5.755041 ,14.750000,0.005263 ,0.171232,4.632204    ,45.633914  ,0.000173
0.020000,5.759227 ,14.750001,0.009449 ,0.209300,1.903430    ,-136.438715,0.000316
0.020000,5.764175 ,14.750003,0.014397 ,0.247379,1.903943    ,0.025631   ,0.000484
0.020000,5.769884 ,14.750007,0.020106 ,0.285470,1.904548    ,0.030284   ,0.000678
0.020000,5.776356 ,14.750012,0.026578 ,0.323575,1.905247    ,0.034944   ,0.000897
0.020000,5.783590 ,14.750019,0.033812 ,0.361696,1.906039    ,0.039612   ,0.001142
0.020000,5.791586 ,14.750029,0.041808 ,0.399834,1.906925    ,0.044288   ,0.001410
0.020000,5.800346 ,14.750043,0.050568 ,0.437993,1.907903    ,0.048878   ,0.001703
0.020000,5.809870 ,14.750061,0.060091 ,0.476172,1.908976    ,0.053692   ,0.002021
0.020000,5.820157 ,14.750083,0.070379 ,0.514375,1.910139    ,0.058150   ,0.002361
0.020000,5.831209 ,14.750111,0.081431 ,0.552603,1.911400    ,0.063016   ,0.002725
0.020000,5.843026 ,14.750146,0.093248 ,0.590858,1.912751    ,0.067585   ,0.003112
0.020000,5.855609 ,14.750188,0.105831 ,0.629142,1.914197    ,0.072265   ,0.003521
0.020000,5.868958 ,14.750238,0.119180 ,0.667457,1.915736    ,0.076959   ,0.003952
0.020000,5.883074 ,14.750297,0.133296 ,0.705804,1.917367    ,0.081558   ,0.004404
0.020000,5.897958 ,14.750366,0.148180 ,0.744186,1.919093    ,0.086273   ,0.004877
0.020000,5.913609 ,14.750446,0.163832 ,0.782604,1.920913    ,0.091018   ,0.005371
0.020000,5.930030 ,14.750538,0.180253 ,0.821060,1.922826    ,0.095636   ,0.005883
0.020000,5.947221 ,14.750644,0.197444 ,0.859557,1.924828    ,0.100115   ,0.006415
0.020000,5.965183 ,14.750764,0.215406 ,0.898096,1.926930    ,0.105122   ,0.006965
0.020000,5.983916 ,14.750900,0.234140 ,0.936678,1.929123    ,0.109637   ,0.007532
0.020000,6.003421 ,14.751053,0.253646 ,0.975306,1.931407    ,0.114171   ,0.008117
0.020000,6.023700 ,14.751223,0.273926 ,1.013982,1.933787    ,0.119035   ,0.008717
0.020000,6.044753 ,14.751413,0.294980 ,1.052707,1.936264    ,0.123856   ,0.009333
0.020000,6.066582 ,14.751624,0.316809 ,1.091484,1.938821    ,0.127850   ,0.009963
0.020000,6.089187 ,14.751856,0.339416 ,1.130313,1.941488    ,0.133350   ,0.010606
0.020000,6.112570 ,14.752112,0.362800 ,1.169198,1.944239    ,0.137555   ,0.011263
0.020000,6.136731 ,14.752392,0.386962 ,1.208140,1.947084    ,0.142228   ,0.011931
0.020000,6.161672 ,14.752698,0.411905 ,1.247140,1.950023    ,0.146950   ,0.012610
0.020000,6.187394 ,14.753032,0.437629 ,1.286202,1.953057    ,0.151684   ,0.013299
0.020000,6.213898 ,14.753393,0.464136 ,1.325325,1.956184    ,0.156390   ,0.013997
0.020000,6.241185 ,14.753785,0.491426 ,1.364513,1.959392    ,0.160382   ,0.014702
0.020000,6.269257 ,14.754208,0.519501 ,1.403767,1.962716    ,0.166210   ,0.015415
0.020000,6.298116 ,14.754663,0.548363 ,1.443090,1.966114    ,0.169876   ,0.016133
0.020000,6.327761 ,14.755152,0.578013 ,1.482482,1.969609    ,0.174734   ,0.016856
0.020000,6.358196 ,14.755676,0.608452 ,1.521946,1.973202    ,0.179694   ,0.017582
0.020000,6.389420 ,14.756237,0.639681 ,1.561484,1.976885    ,0.184118   ,0.018311
0.020000,6.421437 ,14.756835,0.671703 ,1.601097,1.980652    ,0.188367   ,0.019040
0.020000,6.454246 ,14.757472,0.704519 ,1.640787,1.984526    ,0.193702   ,0.019770
0.020000,6.487851 ,14.758148,0.738130 ,1.680557,1.988487    ,0.198020   ,0.020498
0.020000,6.522251 ,14.758866,0.772538 ,1.720408,1.992532    ,0.202294   ,0.021223
0.020000,6.557450 ,14.759626,0.807745 ,1.760341,1.996677    ,0.207249   ,0.021944
0.020000,6.593448 ,14.760429,0.843752 ,1.800359,2.000916    ,0.211931   ,0.022660
0.020000,6.630248 ,14.761276,0.880562 ,1.840464,2.005242    ,0.216311   ,0.023369
0.020000,6.667850 ,14.762168,0.918175 ,1.880657,2.009662    ,0.221006   ,0.024069
0.020000,6.706257 ,14.763106,0.956594 ,1.920941,2.014176    ,0.225697   ,0.024760
0.020000,6.745471 ,14.764091,0.995820 ,1.961316,2.018769    ,0.229644   ,0.025440
0.020000,6.785494 ,14.765123,1.035856 ,2.001786,2.023478    ,0.235455   ,0.026107
0.020000,6.826327 ,14.766202,1.076703 ,2.042351,2.028253    ,0.238711   ,0.026761
0.020000,6.867972 ,14.767331,1.118363 ,2.083014,2.033140    ,0.244394   ,0.027398
0.020000,6.910431 ,14.768507,1.160839 ,2.123776,2.038107    ,0.248348   ,0.028018
0.020000,6.953706 ,14.769733,1.204131 ,2.164639,2.043168    ,0.253035   ,0.028619
0.020000,6.997800 ,14.771009,1.248243 ,2.205606,2.048322    ,0.257714   ,0.029200
0.020000,7.042714 ,14.772333,1.293177 ,2.246677,2.053570    ,0.262382   ,0.029758
0.020000,7.088450 ,14.773707,1.338934 ,2.287855,2.058904    ,0.266693   ,0.030292
0.020000,7.135012 ,14.775130,1.385517 ,2.329142,2.064334    ,0.271511   ,0.030800
0.020000,7.182399 ,14.776601,1.432928 ,2.370539,2.069855    ,0.276043   ,0.031282
0.020000,7.230617 ,14.778121,1.481169 ,2.412048,2.075471    ,0.280794   ,0.031733
0.020000,7.279665 ,14.779689,1.530242 ,2.453672,2.081174    ,0.285174   ,0.032154
0.020000,7.329547 ,14.781303,1.580150 ,2.495411,2.086972    ,0.289885   ,0.032542
0.020000,7.380265 ,14.782963,1.630896 ,2.537269,2.092864    ,0.294584   ,0.032894
0.020000,7.431822 ,14.784668,1.682481 ,2.579246,2.098849    ,0.299266   ,0.033211
0.020000,7.484220 ,14.786416,1.734908 ,2.621344,2.104925    ,0.303796   ,0.033488
0.020000,7.537461 ,14.788206,1.788179 ,2.663566,2.111095    ,0.308493   ,0.033725
0.020000,7.591548 ,14.790037,1.842297 ,2.705913,2.117360    ,0.313274   ,0.033919
0.020000,7.646484 ,14.791905,1.897265 ,2.748388,2.123719    ,0.317951   ,0.034068
0.020000,7.702272 ,14.793809,1.953085 ,2.790991,2.130172    ,0.322616   ,0.034170
0.020000,7.758913 ,14.795747,2.009759 ,2.833725,2.136720    ,0.327403   ,0.034224
0.020000,7.816411 ,14.797716,2.067291 ,2.876593,2.143363    ,0.332175   ,0.034227
0.020000,7.874769 ,14.799713,2.125683 ,2.919595,2.150102    ,0.336930   ,0.034176
0.020000,7.933989 ,14.801735,2.184938 ,2.962733,2.156937    ,0.341762   ,0.034070
0.020000,7.994074 ,14.803778,2.245058 ,3.006011,2.163868    ,0.346542   ,0.033907
0.020000,8.055028 ,14.805839,2.306046 ,3.049429,2.170897    ,0.351474   ,0.033684
0.020000,8.116853 ,14.807914,2.367906 ,3.092989,2.178021    ,0.356189   ,0.033398
0.020000,8.179552 ,14.809998,2.430640 ,3.136694,2.185245    ,0.361184   ,0.033048
0.020000,8.243129 ,14.812087,2.494251 ,3.180545,2.192566    ,0.366063   ,0.032632
0.020000,8.307586 ,14.814176,2.558742 ,3.224545,2.199984    ,0.370920   ,0.032146
