dt      ,x        ,y        ,position ,velocity,acceleration,jerk      ,heading
0.020000,5.750000 ,13.500000,0.000057 ,0.005668,0.283424    ,14.171216 ,6.282981
0.020000,5.750000 ,13.500000,0.000283 ,0.017005,0.566849    ,14.171216 ,6.282989
0.020000,5.750000 ,13.500000,0.000794 ,0.034011,0.850273    ,14.171216 ,6.283006
0.020000,5.750000 ,13.500000,0.001701 ,0.056685,1.133697    ,14.171216 ,6.283036
0.020000,5.750000 ,13.500000,0.003118 ,0.085027,1.417122    ,14.171216 ,6.283082
0.020000,5.750000 ,13.500000,0.005158 ,0.119038,1.700546    ,14.171216 ,6.283149
0.020000,5.751686 ,13.500000,0.007936 ,0.158718,1.983970    ,14.171216 ,0.000055
0.020000,5.755257 ,13.500000,0.011507 ,0.198397,1.983970    ,-0.000000 ,0.000173
0.020000,5.759622 ,13.500002,0.015872 ,0.238076,1.983970    ,0.000000  ,0.000316
0.020000,5.764780 ,13.500004,0.021030 ,0.277756,1.983970    ,0.000000  ,0.000484
0.020000,5.770732 ,13.500007,0.026982 ,0.317435,1.983970    ,0.000000  ,0.000678
0.020000,5.777477 ,13.500012,0.033727 ,0.357115,1.983970    ,-0.000000 ,0.000897
0.020000,5.785017 ,13.500020,0.041267 ,0.396794,1.983970    ,0.000000  ,0.001142
0.020000,5.793349 ,13.500031,0.049599 ,0.436473,1.983970    ,-0.000000 ,0.001410
0.020000,5.802475 ,13.500045,0.058726 ,0.476153,1.983970    ,0.000000  ,0.001703
0.020000,5.812395 ,13.500063,0.068645 ,0.515832,1.983970    ,0.000000  ,0.002021
0.020000,5.823109 ,13.500087,0.079359 ,0.555512,1.983970    ,-0.000000 ,0.002361
0.020000,5.834616 ,13.500116,0.090866 ,0.595191,1.983970    ,0.000000  ,0.002725
0.020000,5.846916 ,13.500152,0.103166 ,0.634870,1.983970    ,0.000000  ,0.003112
0.020000,5.860010 ,13.500195,0.116261 ,0.674550,1.983970    ,-0.000000 ,0.003521
0.020000,5.873898 ,13.500247,0.130148 ,0.714229,1.983970    ,0.000000  ,0.003952
0.020000,5.888579 ,13.500309,0.144830 ,0.753909,1.983970    ,0.000000  ,0.004404
0.020000,5.904054 ,13.500380,0.160305 ,0.793588,1.983970    ,-0.000000 ,0.004877
0.020000,5.920323 ,13.500464,0.176573 ,0.833267,1.983970    ,0.000000  ,0.005371
0.020000,5.937384 ,13.500560,0.193635 ,0.872947,1.983970    ,0.000000  ,0.005883
0.020000,5.955240 ,13.500670,0.211491 ,0.912626,1.983970    ,0.000000  ,0.006415
0.020000,5.973889 ,13.500794,0.230141 ,0.952306,1.983970    ,-0.000000 ,0.006965
0.020000,5.993331 ,13.500935,0.249583 ,0.991985,1.983970    ,0.000000  ,0.007532
0.020000,6.013567 ,13.501094,0.269820 ,1.031665,1.983970    ,0.000000  ,0.008117
0.020000,6.034596 ,13.501271,0.290850 ,1.071344,1.983970    ,-0.000000 ,0.008717
0.020000,6.056419 ,13.501468,0.312674 ,1.111023,1.983970    ,0.000000  ,0.009333
0.020000,6.079035 ,13.501686,0.335291 ,1.150703,1.983970    ,-0.000000 ,0.009963
0.020000,6.102445 ,13.501927,0.358702 ,1.190382,1.983970    ,0.000000  ,0.010606
0.020000,6.126648 ,13.502191,0.382906 ,1.230062,1.983970    ,-0.000000 ,0.011263
0.020000,6.151644 ,13.502481,0.407904 ,1.269741,1.983970    ,0.000000  ,0.011931
0.020000,6.177434 ,13.502798,0.433696 ,1.309420,1.983970    ,-0.000000 ,0.012610
0.020000,6.204017 ,13.503142,0.460281 ,1.349100,1.983970    ,0.000000  ,0.013299
0.020000,6.231393 ,13.503516,0.487660 ,1.388779,1.983970    ,0.000000  ,0.013997
0.020000,6.259563 ,13.503920,0.515832 ,1.428459,1.983970    ,-0.000000 ,0.014702
0.020000,6.288525 ,13.504356,0.544798 ,1.468138,1.983970    ,0.000000  ,0.015415
0.020000,6.318281 ,13.504826,0.574558 ,1.507817,1.983970    ,-0.000000 ,0.016133
0.020000,6.348830 ,13.505330,0.605111 ,1.547497,1.983970    ,0.000000  ,0.016856
0.020000,6.380172 ,13.505870,0.636458 ,1.587176,1.983970    ,-0.000000 ,0.017582
0.020000,6.412307 ,13.506446,0.668598 ,1.626856,1.983970    ,0.000000  ,0.018311
0.020000,6.445235 ,13.507061,0.701532 ,1.666535,1.983970    ,-0.000000 ,0.019040
0.020000,6.478957 ,13.507716,0.735259 ,1.706214,1.983970    ,0.000000  ,0.019770
0.020000,6.513471 ,13.508411,0.769780 ,1.745894,1.983970    ,-0.000000 ,0.020498
0.020000,6.548778 ,13.509148,0.805095 ,1.785573,1.983970    ,0.000000  ,0.021223
0.020000,6.584878 ,13.509927,0.841203 ,1.825253,1.983970    ,-0.000000 ,0.021944
0.020000,6.621770 ,13.510750,0.878105 ,1.864932,1.983970    ,0.000000  ,0.022660
0.020000,6.659456 ,13.511617,0.915801 ,1.904611,1.983970    ,0.000000  ,0.023369
0.020000,6.697934 ,13.512530,0.954290 ,1.944291,1.983970    ,-0.000000 ,0.024069
0.020000,6.737205 ,13.513489,0.993572 ,1.983970,1.983970    ,0.000000  ,0.024760
0.020000,6.777268 ,13.514495,1.033648 ,2.023650,1.983970    ,-0.000000 ,0.025440
0.020000,6.818125 ,13.515549,1.074518 ,2.063329,1.983970    ,0.000000  ,0.026107
0.020000,6.859773 ,13.516650,1.116182 ,2.103008,1.983970    ,-0.000000 ,0.026761
0.020000,6.902215 ,13.517800,1.158639 ,2.142688,1.983970    ,0.000000  ,0.027398
0.020000,6.945449 ,13.518998,1.201889 ,2.182367,1.983970    ,0.000000  ,0.028018
0.020000,6.989475 ,13.520245,1.245933 ,2.222047,1.983970    ,0.000000  ,0.028619
0.020000,7.034294 ,13.521541,1.290771 ,2.261726,1.983970    ,-0.000000 ,0.029200
0.020000,7.079906 ,13.522886,1.336402 ,2.301405,1.983970    ,0.000000  ,0.029758
0.020000,7.126310 ,13.524280,1.382827 ,2.341085,1.983970    ,0.000000  ,0.030292
0.020000,7.173506 ,13.525723,1.430046 ,2.380764,1.983970    ,0.000000  ,0.030800
0.020000,7.221495 ,13.527213,1.478058 ,2.420444,1.983970    ,0.000000  ,0.031282
0.020000,7.270276 ,13.528750,1.526863 ,2.460123,1.983970    ,-0.000000 ,0.031733
0.020000,7.319850 ,13.530335,1.576463 ,2.499802,1.983970    ,0.000000  ,0.032154
0.020000,7.370217 ,13.531965,1.626856 ,2.539482,1.983970    ,0.000000  ,0.032542
0.020000,7.421376 ,13.533639,1.678042 ,2.579161,1.983970    ,-0.000000 ,0.032894
0.020000,7.473328 ,13.535357,1.730022 ,2.618841,1.983970    ,0.000000  ,0.033211
0.020000,7.526072 ,13.537117,1.782796 ,2.658520,1.983970    ,-0.000000 ,0.033488
0.020000,7.579609 ,13.538917,1.836363 ,2.698200,1.983970    ,0.000000  ,0.033725
0.020000,7.633938 ,13.540756,1.890724 ,2.737879,1.983970    ,0.000000  ,0.033919
0.020000,7.689061 ,13.542630,1.945878 ,2.777558,1.983970    ,0.000000  ,0.034068
0.020000,7.744976 ,13.544539,2.001826 ,2.817238,1.983970    ,-0.000000 ,0.034170
0.020000,7.801685 ,13.546479,2.058568 ,2.856917,1.983970    ,0.000000  ,0.034224
0.020000,7.859186 ,13.548448,2.116103 ,2.896597,1.983970    ,-0.000000 ,0.034227
0.020000,7.917481 ,13.550443,2.174431 ,2.936276,1.983970    ,0.000000  ,0.034176
0.020000,7.976569 ,13.552460,2.233554 ,2.975955,1.983970    ,-0.000000 ,0.034070
0.020000,8.036450 ,13.554497,2.293470 ,3.015635,1.983970    ,0.000000  ,0.033907
0.020000,8.097125 ,13.556548,2.354179 ,3.055314,1.983970    ,-0.000000 ,0.033684
0.020000,8.158593 ,13.558611,2.415682 ,3.094994,1.983970    ,0.000000  ,0.033398
0.020000,8.220855 ,13.560681,2.477979 ,3.134673,1.983970    ,-0.000000 ,0.033048
0.020000,8.283912 ,13.562753,2.541069 ,3.174352,1.983970    ,-0.000000 ,0.032632
0.020000,8.347762 ,13.564822,2.604953 ,3.214032,1.983970    ,0.000000  ,0.032146
0.020000,8.412407 ,13.566883,2.669630 ,3.253711,1.983970    ,0.000000  ,0.031589
0.020000,8.477846 ,13.568930,2.735101 ,3.293391,1.983970    ,0.000000  ,0.030958
0.020000,8.544079 ,13.570958,2.801366 ,3.333070,1.983970    ,-0.000000 ,0.030250
0.020000,8.611107 ,13.572961,2.868424 ,3.372749,1.983970    ,0.000000  ,0.029464
0.020000,8.678931 ,13.574931,2.936276 ,3.412429,1.983970    ,0.000000  ,0.028596
0.020000,8.747549 ,13.576861,3.004921 ,3.452108,1.983970    ,0.000000  ,0.027644
0.020000,8.816962 ,13.578745,3.074360 ,3.491788,1.983970    ,-0.000000 ,0.026605
0.020000,8.887171 ,13.580574,3.144593 ,3.531467,1.983970    ,0.000000  ,0.025477
