dt      ,x        ,y        ,position ,velocity,acceleration,jerk        ,heading
0.020000,5.749745 ,12.250000,0.000057 ,0.005668,0.283424    ,14.171216   ,6.282981
0.020000,5.749754 ,12.250000,0.000066 ,0.000467,-0.260062   ,-27.174316  ,6.282989
0.020000,5.749775 ,12.250000,0.000087 ,0.001051,0.029194    ,14.462781   ,6.283006
0.020000,5.749813 ,12.250000,0.000124 ,0.001868,0.040845    ,0.582576    ,6.283036
0.020000,5.749871 ,12.250000,0.000183 ,0.002917,0.052457    ,0.580588    ,6.283082
0.020000,5.749955 ,12.250000,0.000267 ,0.004197,0.064004    ,0.577332    ,6.283149
0.020000,5.751755 ,12.250000,0.002067 ,0.090000,4.290156    ,211.307606  ,0.000055
0.020000,5.755473 ,12.250000,0.005784 ,0.185883,4.794123    ,25.198378   ,0.000173
0.020000,5.760016 ,12.250002,0.010328 ,0.227173,2.064510    ,-136.480644 ,0.000316
0.020000,5.765385 ,12.250004,0.015697 ,0.268453,2.063998    ,-0.025618   ,0.000484
0.020000,5.771580 ,12.250007,0.021891 ,0.309721,2.063392    ,-0.030286   ,0.000678
0.020000,5.778599 ,12.250013,0.028911 ,0.350975,2.062693    ,-0.034949   ,0.000897
0.020000,5.786443 ,12.250021,0.036755 ,0.392213,2.061901    ,-0.039605   ,0.001142
0.020000,5.795112 ,12.250032,0.045424 ,0.433433,2.061016    ,-0.044253   ,0.001410
0.020000,5.804605 ,12.250047,0.054916 ,0.474634,2.060036    ,-0.048997   ,0.001703
0.020000,5.814921 ,12.250066,0.065233 ,0.515813,2.058966    ,-0.053500   ,0.002021
0.020000,5.826060 ,12.250090,0.076372 ,0.556969,2.057798    ,-0.058391   ,0.002361
0.020000,5.838022 ,12.250121,0.088334 ,0.598100,2.056542    ,-0.062842   ,0.002725
0.020000,5.850806 ,12.250158,0.101118 ,0.639204,2.055189    ,-0.067616   ,0.003112
0.020000,5.864412 ,12.250203,0.114724 ,0.680279,2.053744    ,-0.072272   ,0.003521
0.020000,5.878838 ,12.250257,0.129150 ,0.721323,2.052205    ,-0.076914   ,0.003952
0.020000,5.894085 ,12.250321,0.144397 ,0.762334,2.050572    ,-0.081660   ,0.004404
0.020000,5.910151 ,12.250395,0.160463 ,0.803311,2.048847    ,-0.086282   ,0.004877
0.020000,5.927036 ,12.250482,0.177348 ,0.844252,2.047029    ,-0.090873   ,0.005371
0.020000,5.944738 ,12.250582,0.195051 ,0.885154,2.045117    ,-0.095601   ,0.005883
0.020000,5.963258 ,12.250695,0.213571 ,0.926016,2.043108    ,-0.100479   ,0.006415
0.020000,5.982595 ,12.250825,0.232908 ,0.966836,2.041012    ,-0.104789   ,0.006965
0.020000,6.002746 ,12.250971,0.253060 ,1.007613,2.038819    ,-0.109628   ,0.007532
0.020000,6.023713 ,12.251135,0.274027 ,1.048343,2.036530    ,-0.114444   ,0.008117
0.020000,6.045492 ,12.251318,0.295808 ,1.089026,2.034152    ,-0.118904   ,0.008717
0.020000,6.068085 ,12.251522,0.318401 ,1.129660,2.031684    ,-0.123408   ,0.009333
0.020000,6.091488 ,12.251748,0.341806 ,1.170242,2.029108    ,-0.128796   ,0.009963
0.020000,6.115703 ,12.251997,0.366021 ,1.210771,2.026457    ,-0.132566   ,0.010606
0.020000,6.140726 ,12.252271,0.391046 ,1.251245,2.023702    ,-0.137721   ,0.011263
