dt      ,x        ,y        ,position ,velocity,acceleration,jerk        ,heading
0.020000,5.749745 ,14.750000,0.000057 ,0.005668,0.283424    ,14.171216   ,0.000204
0.020000,5.749754 ,14.750000,0.000066 ,0.000467,-0.260062   ,-27.174316  ,0.000196
0.020000,5.749775 ,14.750000,0.000087 ,0.001051,0.029194    ,14.462781   ,0.000180
0.020000,5.749813 ,14.750000,0.000124 ,0.001868,0.040845    ,0.582576    ,0.000150
0.020000,5.749871 ,14.750000,0.000183 ,0.002917,0.052457    ,0.580588    ,0.000103
0.020000,5.749955 ,14.750000,0.000267 ,0.004197,0.064004    ,0.577332    ,0.000036
0.020000,5.751755 ,14.750000,0.002067 ,0.090000,4.290156    ,211.307606  ,6.283130
0.020000,5.755473 ,14.750000,0.005784 ,0.185883,4.794123    ,25.198378   ,6.283013
0.020000,5.760016 ,14.749998,0.010328 ,0.227173,2.064510    ,-136.480644 ,6.282870
0.020000,5.765385 ,14.749996,0.015697 ,0.268453,2.063998    ,-0.025618   ,6.282701
0.020000,5.771580 ,14.749993,0.021891 ,0.309721,2.063392    ,-0.030286   ,6.282507
0.020000,5.778599 ,14.749987,0.028911 ,0.350975,2.062693    ,-0.034949   ,6.282288
0.020000,5.786443 ,14.749979,0.036755 ,0.392213,2.061901    ,-0.039605   ,6.282044
0.020000,5.795112 ,14.749968,0.045424 ,0.433433,2.061016    ,-0.044253   ,6.281775
0.020000,5.804605 ,14.749953,0.054916 ,0.474634,2.060036    ,-0.048997   ,6.281482
0.020000,5.814921 ,14.749934,0.065233 ,0.515813,2.058966    ,-0.053500   ,6.281165
0.020000,5.826060 ,14.749910,0.076372 ,0.556969,2.057798    ,-0.058391   ,6.280824
0.020000,5.838022 ,14.749879,0.088334 ,0.598100,2.056542    ,-0.062842   ,6.280460
0.020000,5.850806 ,14.749842,0.101118 ,0.639204,2.055189    ,-0.067616   ,6.280073
0.020000,5.864412 ,14.749797,0.114724 ,0.680279,2.053744    ,-0.072272   ,6.279664
0.020000,5.878838 ,14.749743,0.129150 ,0.721323,2.052205    ,-0.076914   ,6.279233
0.020000,5.894085 ,14.749679,0.144397 ,0.762334,2.050572    ,-0.081660   ,6.278781
0.020000,5.910151 ,14.749605,0.160463 ,0.803311,2.048847    ,-0.086282   ,6.278308
0.020000,5.927036 ,14.749518,0.177348 ,0.844252,2.047029    ,-0.090873   ,6.277815
0.020000,5.944738 ,14.749418,0.195051 ,0.885154,2.045117    ,-0.095601   ,6.277302
0.020000,5.963258 ,14.749305,0.213571 ,0.926016,2.043108    ,-0.100479   ,6.276770
0.020000,5.982595 ,14.749175,0.232908 ,0.966836,2.041012    ,-0.104789   ,6.276220
0.020000,6.002746 ,14.749029,0.253060 ,1.007613,2.038819    ,-0.109628   ,6.275653
0.020000,6.023713 ,14.748865,0.274027 ,1.048343,2.036530    ,-0.114444   ,6.275069
0.020000,6.045492 ,14.748682,0.295808 ,1.089026,2.034152    ,-0.118904   ,6.274468
0.020000,6.068085 ,14.748478,0.318401 ,1.129660,2.031684    ,-0.123408   ,6.273853
0.020000,6.091488 ,14.748252,0.341806 ,1.170242,2.029108    ,-0.128796   ,6.273223
0.020000,6.115703 ,14.748003,0.366021 ,1.210771,2.026457    ,-0.132566   ,6.272579
0.020000,6.140726 ,14.747729,0.391046 ,1.251245,2.023702    ,-0.137721   ,6.271923
0.020000,6.166557 ,14.747430,0.416879 ,1.291663,2.020855    ,-0.142368   ,6.271254
0.020000,6.193196 ,14.747103,0.443520 ,1.332021,2.017916    ,-0.146959   ,6.270575
0.020000,6.220640 ,14.746747,0.470966 ,1.372319,2.014885    ,-0.151531   ,6.269886
0.020000,6.248888 ,14.746362,0.499217 ,1.412554,2.011763    ,-0.156127   ,6.269189
0.020000,6.277940 ,14.745945,0.528272 ,1.452724,2.008533    ,-0.161476   ,6.268483
0.020000,6.307793 ,14.745495,0.558128 ,1.492829,2.005236    ,-0.164863   ,6.267770
0.020000,6.338447 ,14.745012,0.588786 ,1.532866,2.001825    ,-0.170544   ,6.267052
0.020000,6.369899 ,14.744493,0.620242 ,1.572832,1.998326    ,-0.174947   ,6.266329
0.020000,6.402149 ,14.743937,0.652497 ,1.612727,1.994741    ,-0.179235   ,6.265603
0.020000,6.435194 ,14.743344,0.685548 ,1.652548,1.991060    ,-0.184084   ,6.264875
0.020000,6.469034 ,14.742712,0.719394 ,1.692294,1.987278    ,-0.189105   ,6.264145
0.020000,6.503667 ,14.742040,0.754033 ,1.731962,1.983418    ,-0.192971   ,6.263416
0.020000,6.539091 ,14.741326,0.789464 ,1.771551,1.979460    ,-0.197903   ,6.262688
0.020000,6.575304 ,14.740571,0.825685 ,1.811059,1.975403    ,-0.202871   ,6.261962
0.020000,6.612305 ,14.739772,0.862695 ,1.850485,1.971260    ,-0.207113   ,6.261241
0.020000,6.650092 ,14.738929,0.900491 ,1.889825,1.967028    ,-0.211634   ,6.260526
0.020000,6.688664 ,14.738041,0.939073 ,1.929079,1.962699    ,-0.216465   ,6.259817
0.020000,6.728018 ,14.737108,0.978438 ,1.968245,1.958279    ,-0.220957   ,6.259116
0.020000,6.768152 ,14.736127,1.018584 ,2.007320,1.953770    ,-0.225448   ,6.258425
0.020000,6.809065 ,14.735100,1.059510 ,2.046303,1.949156    ,-0.230709   ,6.257745
0.020000,6.850755 ,14.734025,1.101214 ,2.085193,1.944476    ,-0.234019   ,6.257078
0.020000,6.893220 ,14.732902,1.143694 ,2.123986,1.939676    ,-0.239993   ,6.256425
0.020000,6.936458 ,14.731731,1.186948 ,2.162682,1.934807    ,-0.243435   ,6.255787
0.020000,6.980467 ,14.730511,1.230973 ,2.201279,1.929834    ,-0.248675   ,6.255167
0.020000,7.025244 ,14.729243,1.275769 ,2.239775,1.924771    ,-0.253154   ,6.254566
0.020000,7.070788 ,14.727926,1.321332 ,2.278167,1.919618    ,-0.257644   ,6.253986
0.020000,7.117097 ,14.726560,1.367661 ,2.316454,1.914375    ,-0.262152   ,6.253428
0.020000,7.164169 ,14.725146,1.414754 ,2.354635,1.909034    ,-0.267035   ,6.252893
0.020000,7.212001 ,14.723685,1.462608 ,2.392707,1.903606    ,-0.271403   ,6.252385
