dt      ,x        ,y        ,position ,velocity,acceleration,jerk       ,heading
0.020000,5.750255 ,12.250000,0.000057 ,0.005668,0.283424    ,14.171216  ,0.000204
0.020000,5.750246 ,12.250000,0.000066 ,0.000467,-0.260062   ,-27.174316 ,0.000196
0.020000,5.750225 ,12.250000,0.000087 ,0.001051,0.029194    ,14.462781  ,0.000180
0.020000,5.750187 ,12.250000,0.000124 ,0.001868,0.040845    ,0.582576   ,0.000150
0.020000,5.750129 ,12.250000,0.000183 ,0.002917,0.052457    ,0.580588   ,0.000103
0.020000,5.750045 ,12.250000,0.000267 ,0.004197,0.064004    ,0.577332   ,0.000036
0.020000,5.751617 ,12.250000,0.001838 ,0.078588,3.719526    ,182.776120 ,6.283130
0.020000,5.755041 ,12.250000,0.005263 ,0.171232,4.632204    ,45.633914  ,6.283013
0.020000,5.759227 ,12.249999,0.009449 ,0.209300,1.903430    ,-136.438715,6.282870
0.020000,5.764175 ,12.249997,0.014397 ,0.247379,1.903943    ,0.025631   ,6.282701
0.020000,5.769884 ,12.249993,0.020106 ,0.285470,1.904548    ,0.030284   ,6.282507
0.020000,5.776356 ,12.249988,0.026578 ,0.323575,1.905247    ,0.034944   ,6.282288
0.020000,5.783590 ,12.249981,0.033812 ,0.361696,1.906039    ,0.039612   ,6.282044
0.020000,5.791586 ,12.249971,0.041808 ,0.399834,1.906925    ,0.044288   ,6.281775
0.020000,5.800346 ,12.249957,0.050568 ,0.437993,1.907903    ,0.048878   ,6.281482
0.020000,5.809870 ,12.249939,0.060091 ,0.476172,1.908976    ,0.053692   ,6.281165
0.020000,5.820157 ,12.249917,0.070379 ,0.514375,1.910139    ,0.058150   ,6.280824
0.020000,5.831209 ,12.249889,0.081431 ,0.552603,1.911400    ,0.063016   ,6.280460
0.020000,5.843026 ,12.249854,0.093248 ,0.590858,1.912751    ,0.067585   ,6.280073
0.020000,5.855609 ,12.249812,0.105831 ,0.629142,1.914197    ,0.072265   ,6.279664
0.020000,5.868958 ,12.249762,0.119180 ,0.667457,1.915736    ,0.076959   ,6.279233
0.020000,5.883074 ,12.249703,0.133296 ,0.705804,1.917367    ,0.081558   ,6.278781
0.020000,5.897958 ,12.249634,0.148180 ,0.744186,1.919093    ,0.086273   ,6.278308
0.020000,5.913609 ,12.249554,0.163832 ,0.782604,1.920913    ,0.091018   ,6.277815
0.020000,5.930030 ,12.249462,0.180253 ,0.821060,1.922826    ,0.095636   ,6.277302
0.020000,5.947221 ,12.249356,0.197444 ,0.859557,1.924828    ,0.100115   ,6.276770
0.020000,5.965183 ,12.249236,0.215406 ,0.898096,1.926930    ,0.105122   ,6.276220
0.020000,5.983916 ,12.249100,0.234140 ,0.936678,1.929123    ,0.109637   ,6.275653
0.020000,6.003421 ,12.248947,0.253646 ,0.975306,1.931407    ,0.114171   ,6.275069
0.020000,6.023700 ,12.248777,0.273926 ,1.013982,1.933787    ,0.119035   ,6.274468
0.020000,6.044753 ,12.248587,0.294980 ,1.052707,1.936264    ,0.123856   ,6.273853
0.020000,6.066582 ,12.248376,0.316809 ,1.091484,1.938821    ,0.127850   ,6.273223
0.020000,6.089187 ,12.248144,0.339416 ,1.130313,1.941488    ,0.133350   ,6.272579
0.020000,6.112570 ,12.247888,0.362800 ,1.169198,1.944239    ,0.137555   ,6.271923
0.020000,6.136731 ,12.247608,0.386962 ,1.208140,1.947084    ,0.142228   ,6.271254
0.020000,6.161672 ,12.247302,0.411905 ,1.247140,1.950023    ,0.146950   ,6.270575
0.020000,6.187394 ,12.246968,0.437629 ,1.286202,1.953057    ,0.151684   ,6.269886
0.020000,6.213898 ,12.246607,0.464136 ,1.325325,1.956184    ,0.156390   ,6.269189
0.020000,6.241185 ,12.246215,0.491426 ,1.364513,1.959392    ,0.160382   ,6.268483
0.020000,6.269257 ,12.245792,0.519501 ,1.403767,1.962716    ,0.166210   ,6.267770
0.020000,6.298116 ,12.245337,0.548363 ,1.443090,1.966114    ,0.169876   ,6.267052
0.020000,6.327761 ,12.244848,0.578013 ,1.482482,1.969609    ,0.174734   ,6.266329
