dt      ,x        ,y        ,position ,velocity ,acceleration,jerk        ,heading
0.020000,5.501826 ,18.249999,0.000057 ,0.005714 ,0.285714    ,14.285714   ,6.281724
0.020000,5.501799 ,18.249999,0.000085 ,0.001392 ,-0.216127   ,-25.092068  ,6.281746
0.020000,5.501736 ,18.249999,0.000148 ,0.003131 ,0.086981    ,15.155403   ,6.281797
0.020000,5.501625 ,18.249999,0.000259 ,0.005567 ,0.121765    ,1.739196    ,6.281886
0.020000,5.501451 ,18.249999,0.000433 ,0.008697 ,0.156536    ,1.738545    ,6.282025
0.020000,5.501200 ,18.249999,0.000683 ,0.012523 ,0.191285    ,1.737477    ,6.282225
0.020000,5.500859 ,18.250000,0.001024 ,0.017043 ,0.226003    ,1.735884    ,6.282498
0.020000,5.500421 ,18.250000,0.001462 ,0.021909 ,0.243290    ,0.864338    ,6.282848
0.020000,5.500825 ,18.250000,0.001866 ,0.020172 ,-0.086852   ,-16.507106  ,0.000091
0.020000,5.505393 ,18.250002,0.006434 ,0.228394 ,10.411117   ,524.898464  ,0.000598
0.020000,5.510662 ,18.250006,0.011703 ,0.263488 ,1.754697    ,-432.820978 ,0.001182
0.020000,5.516635 ,18.250015,0.017676 ,0.298647 ,1.757918    ,0.161055    ,0.001843
0.020000,5.523311 ,18.250030,0.024352 ,0.333781 ,1.756704    ,-0.060734   ,0.002583
0.020000,5.530689 ,18.250052,0.031731 ,0.368932 ,1.757563    ,0.042953    ,0.003400
0.020000,5.538770 ,18.250083,0.039812 ,0.404048 ,1.755807    ,-0.087804   ,0.004295
0.020000,5.547555 ,18.250125,0.048597 ,0.439251 ,1.760134    ,0.216384    ,0.005267
0.020000,5.557043 ,18.250180,0.058084 ,0.474372 ,1.756070    ,-0.203228   ,0.006317
0.020000,5.567233 ,18.250250,0.068274 ,0.509512 ,1.757006    ,0.046794    ,0.007445
0.020000,5.578126 ,18.250338,0.079168 ,0.544696 ,1.759164    ,0.107926    ,0.008650
0.020000,5.589723 ,18.250446,0.090766 ,0.579876 ,1.759025    ,-0.006981   ,0.009932
0.020000,5.602023 ,18.250576,0.103067 ,0.615041 ,1.758233    ,-0.039607   ,0.011291
0.020000,5.615027 ,18.250732,0.116071 ,0.650215 ,1.758711    ,0.023929    ,0.012728
0.020000,5.628733 ,18.250917,0.129779 ,0.685397 ,1.759084    ,0.018669    ,0.014241
0.020000,5.643143 ,18.251134,0.144190 ,0.720584 ,1.759358    ,0.013697    ,0.015832
0.020000,5.658257 ,18.251386,0.159306 ,0.755775 ,1.759539    ,0.009027    ,0.017499
0.020000,5.674075 ,18.251677,0.175126 ,0.791026 ,1.762569    ,0.151496    ,0.019243
0.020000,5.690596 ,18.252010,0.191651 ,0.826236 ,1.760488    ,-0.104041   ,0.021064
0.020000,5.707821 ,18.252389,0.208880 ,0.861442 ,1.760334    ,-0.007723   ,0.022960
0.020000,5.725749 ,18.252818,0.226814 ,0.896684 ,1.762064    ,0.086544    ,0.024933
0.020000,5.744382 ,18.253302,0.245453 ,0.931967 ,1.764163    ,0.104919    ,0.026982
0.020000,5.763718 ,18.253844,0.264797 ,0.967182 ,1.760756    ,-0.170357   ,0.029107
0.020000,5.783760 ,18.254450,0.284847 ,1.002528 ,1.767304    ,0.327425    ,0.031307
0.020000,5.804504 ,18.255123,0.305603 ,1.037775 ,1.762327    ,-0.248866   ,0.033582
0.020000,5.825954 ,18.255869,0.327065 ,1.073116 ,1.767061    ,0.236706    ,0.035932
0.020000,5.848107 ,18.256692,0.349234 ,1.108449 ,1.766676    ,-0.019263   ,0.038357
0.020000,5.870965 ,18.257598,0.372110 ,1.143780 ,1.766537    ,-0.006946   ,0.040856
0.020000,5.894527 ,18.258592,0.395693 ,1.179144 ,1.768178    ,0.082062    ,0.043430
0.020000,5.918794 ,18.259678,0.419984 ,1.214572 ,1.771425    ,0.162363    ,0.046077
0.020000,5.943766 ,18.260864,0.444984 ,1.249986 ,1.770678    ,-0.037353   ,0.048797
0.020000,5.969442 ,18.262154,0.470692 ,1.285425 ,1.771971    ,0.064622    ,0.051590
0.020000,5.995822 ,18.263554,0.497110 ,1.320893 ,1.773415    ,0.072231    ,0.054456
0.020000,6.022908 ,18.265070,0.524238 ,1.356390 ,1.774831    ,0.070783    ,0.057394
0.020000,6.050698 ,18.266709,0.552076 ,1.391915 ,1.776229    ,0.069905    ,0.060403
0.020000,6.079193 ,18.268476,0.580626 ,1.427512 ,1.779870    ,0.182068    ,0.063483
0.020000,6.108394 ,18.270379,0.609888 ,1.463106 ,1.779689    ,-0.009054   ,0.066633
