dt      ,x        ,y        ,position ,velocity ,acceleration,jerk        ,heading
0.020000,5.498174 ,15.750001,0.000057 ,0.005714 ,0.285714    ,14.285714   ,6.281724
0.020000,5.498201 ,15.750001,0.000085 ,0.001392 ,-0.216127   ,-25.092068  ,6.281746
0.020000,5.498264 ,15.750001,0.000148 ,0.003131 ,0.086981    ,15.155403   ,6.281797
0.020000,5.498375 ,15.750001,0.000259 ,0.005567 ,0.121765    ,1.739196    ,6.281886
0.020000,5.498549 ,15.750001,0.000433 ,0.008697 ,0.156536    ,1.738545    ,6.282025
0.020000,5.498800 ,15.750001,0.000683 ,0.012523 ,0.191285    ,1.737477    ,6.282225
0.020000,5.499141 ,15.750000,0.001024 ,0.017043 ,0.226003    ,1.735884    ,6.282498
0.020000,5.499579 ,15.750000,0.001462 ,0.021909 ,0.243290    ,0.864338    ,6.282848
0.020000,5.501053 ,15.750000,0.002937 ,0.073719 ,2.590483    ,117.359683  ,0.000091
0.020000,5.506887 ,15.750002,0.008770 ,0.291673 ,10.897712   ,415.361407  ,0.000598
0.020000,5.513616 ,15.750008,0.015500 ,0.336480 ,2.240374    ,-432.866874 ,0.001182
0.020000,5.521244 ,15.750020,0.023127 ,0.381366 ,2.244274    ,0.194984    ,0.001843
0.020000,5.529768 ,15.750038,0.031651 ,0.426215 ,2.242474    ,-0.089980   ,0.002583
0.020000,5.539189 ,15.750067,0.041073 ,0.471081 ,2.243286    ,0.040579    ,0.003400
0.020000,5.549507 ,15.750106,0.051391 ,0.515895 ,2.240719    ,-0.128353   ,0.004295
0.020000,5.560723 ,15.750160,0.062607 ,0.560813 ,2.245877    ,0.257916    ,0.005267
0.020000,5.572836 ,15.750230,0.074720 ,0.605618 ,2.240275    ,-0.280110   ,0.006317
0.020000,5.585844 ,15.750320,0.087728 ,0.650439 ,2.241008    ,0.036680    ,0.007445
0.020000,5.599750 ,15.750432,0.101634 ,0.695304 ,2.243250    ,0.112078    ,0.008650
0.020000,5.614552 ,15.750569,0.116438 ,0.740154 ,2.242501    ,-0.037442   ,0.009932
0.020000,5.630251 ,15.750736,0.132137 ,0.784971 ,2.240859    ,-0.082105   ,0.011291
0.020000,5.646845 ,15.750935,0.148733 ,0.829786 ,2.240774    ,-0.004254   ,0.012728
0.020000,5.664335 ,15.751171,0.166225 ,0.874596 ,2.240485    ,-0.014458   ,0.014241
0.020000,5.682721 ,15.751447,0.184612 ,0.919396 ,2.239994    ,-0.024542   ,0.015832
0.020000,5.702002 ,15.751769,0.203896 ,0.964182 ,2.239304    ,-0.034497   ,0.017499
0.020000,5.722179 ,15.752139,0.224077 ,1.009025 ,2.242163    ,0.142954    ,0.019243
0.020000,5.743251 ,15.752564,0.245153 ,1.053793 ,2.238411    ,-0.187596   ,0.021064
0.020000,5.765216 ,15.753048,0.267123 ,1.098534 ,2.237020    ,-0.069552   ,0.022960
0.020000,5.788076 ,15.753595,0.289989 ,1.143292 ,2.237930    ,0.045481    ,0.024933
