dt      ,x        ,y        ,position ,velocity,acceleration,jerk        ,heading
0.020000,5.749732 ,11.250000,0.000057 ,0.005686,0.284297    ,14.214838   ,0.000215
0.020000,5.749746 ,11.250000,0.000071 ,0.000729,-0.247851   ,-26.607389  ,0.000203
0.020000,5.749779 ,11.250000,0.000104 ,0.001640,0.045536    ,14.669344   ,0.000177
0.020000,5.749837 ,11.250000,0.000162 ,0.002913,0.063691    ,0.907734    ,0.000130
0.020000,5.749928 ,11.250000,0.000253 ,0.004549,0.081754    ,0.903158    ,0.000057
0.020000,5.750983 ,11.250000,0.001309 ,0.052752,2.410170    ,116.420807  ,6.283138
0.020000,5.753947 ,11.250000,0.004272 ,0.148194,4.772125    ,118.097776  ,6.282996
0.020000,5.757757 ,11.249999,0.008083 ,0.190510,2.115777    ,-132.817440 ,6.282813
0.020000,5.762413 ,11.249996,0.012739 ,0.232806,2.114812    ,-0.048244   ,6.282591
0.020000,5.767915 ,11.249992,0.018240 ,0.275079,2.113632    ,-0.058969   ,6.282329
0.020000,5.774262 ,11.249986,0.024587 ,0.317324,2.112238    ,-0.069730   ,6.282028
0.020000,5.781452 ,11.249976,0.031777 ,0.359536,2.110630    ,-0.080387   ,6.281689
0.020000,5.789486 ,11.249963,0.039812 ,0.401712,2.108805    ,-0.091227   ,6.281311
0.020000,5.798363 ,11.249944,0.048689 ,0.443848,2.106768    ,-0.101862   ,6.280896
0.020000,5.808082 ,11.249920,0.058407 ,0.485938,2.104515    ,-0.112640   ,6.280445
0.020000,5.818642 ,11.249888,0.068967 ,0.527979,2.102047    ,-0.123422   ,6.279957
0.020000,5.830041 ,11.249849,0.080366 ,0.569966,2.099365    ,-0.134111   ,6.279435
0.020000,5.842279 ,11.249799,0.092604 ,0.611896,2.096467    ,-0.144886   ,6.278879
0.020000,5.855354 ,11.249739,0.105680 ,0.653763,2.093355    ,-0.155606   ,6.278289
0.020000,5.869265 ,11.249667,0.119591 ,0.695563,2.090027    ,-0.166408   ,6.277668
0.020000,5.884011 ,11.249581,0.134337 ,0.737293,2.086485    ,-0.177102   ,6.277015
