dt      ,x        ,y        ,position ,velocity,acceleration,jerk      ,heading
0.020000,5.750000 ,10.000000,0.000057 ,0.005686,0.284297    ,14.214838 ,0.000215
0.020000,5.750000 ,10.000000,0.000284 ,0.017058,0.568594    ,14.214838 ,0.000203
0.020000,5.750000 ,10.000000,0.000796 ,0.034116,0.852890    ,14.214838 ,0.000177
0.020000,5.750000 ,10.000000,0.001706 ,0.056859,1.137187    ,14.214838 ,0.000130
0.020000,5.750000 ,10.000000,0.003127 ,0.085289,1.421484    ,14.214838 ,0.000057
0.020000,5.750924 ,10.000000,0.005174 ,0.119405,1.705781    ,14.214838 ,6.283138
0.020000,5.753710 ,10.000000,0.007960 ,0.159206,1.990077    ,14.214838 ,6.282996
0.020000,5.757292 ,9.999999 ,0.011542 ,0.199008,1.990077    ,0.000000  ,6.282813
0.020000,5.761671 ,9.999997 ,0.015921 ,0.238809,1.990077    ,-0.000000 ,6.282591
0.020000,5.766845 ,9.999993 ,0.021095 ,0.278611,1.990077    ,0.000000  ,6.282329
0.020000,5.772815 ,9.999987 ,0.027065 ,0.318412,1.990077    ,0.000000  ,6.282028
0.020000,5.779581 ,9.999978 ,0.033831 ,0.358214,1.990077    ,-0.000000 ,6.281689
0.020000,5.787144 ,9.999965 ,0.041394 ,0.398015,1.990077    ,0.000000  ,6.281311
0.020000,5.795502 ,9.999948 ,0.049752 ,0.437817,1.990077    ,-0.000000 ,6.280896
0.020000,5.804656 ,9.999925 ,0.058906 ,0.477619,1.990077    ,0.000000  ,6.280445
0.020000,5.814607 ,9.999895 ,0.068857 ,0.517420,1.990077    ,0.000000  ,6.279957
0.020000,5.825353 ,9.999857 ,0.079603 ,0.557222,1.990077    ,0.000000  ,6.279435
0.020000,5.836895 ,9.999811 ,0.091146 ,0.597023,1.990077    ,0.000000  ,6.278879
0.020000,5.849234 ,9.999754 ,0.103484 ,0.636825,1.990077    ,0.000000  ,6.278289
0.020000,5.862368 ,9.999686 ,0.116619 ,0.676626,1.990077    ,-0.000000 ,6.277668
0.020000,5.876298 ,9.999604 ,0.130549 ,0.716428,1.990077    ,0.000000  ,6.277015
0.020000,5.891025 ,9.999508 ,0.145276 ,0.756229,1.990077    ,0.000000  ,6.276334
0.020000,5.906547 ,9.999397 ,0.160798 ,0.796031,1.990077    ,-0.000000 ,6.275623
0.020000,5.922865 ,9.999267 ,0.177117 ,0.835832,1.990077    ,0.000000  ,6.274886
0.020000,5.939979 ,9.999119 ,0.194232 ,0.875634,1.990077    ,0.000000  ,6.274123
0.020000,5.957889 ,9.998949 ,0.212142 ,0.915436,1.990077    ,0.000000  ,6.273336
0.020000,5.976594 ,9.998757 ,0.230849 ,0.955237,1.990077    ,0.000000  ,6.272526
0.020000,5.996096 ,9.998541 ,0.250352 ,0.995039,1.990077    ,0.000000  ,6.271696
0.020000,6.016393 ,9.998299 ,0.270651 ,1.034840,1.990077    ,-0.000000 ,6.270846
0.020000,6.037486 ,9.998030 ,0.291745 ,1.074642,1.990077    ,0.000000  ,6.269978
0.020000,6.059375 ,9.997731 ,0.313636 ,1.114443,1.990077    ,-0.000000 ,6.269095
0.020000,6.082060 ,9.997401 ,0.336323 ,1.154245,1.990077    ,0.000000  ,6.268198
0.020000,6.105540 ,9.997039 ,0.359806 ,1.194046,1.990077    ,-0.000000 ,6.267289
0.020000,6.129816 ,9.996642 ,0.384085 ,1.233848,1.990077    ,0.000000  ,6.266370
0.020000,6.154887 ,9.996208 ,0.409160 ,1.273650,1.990077    ,-0.000000 ,6.265443
0.020000,6.180754 ,9.995737 ,0.435031 ,1.313451,1.990077    ,0.000000  ,6.264511
0.020000,6.207416 ,9.995227 ,0.461698 ,1.353253,1.990077    ,-0.000000 ,6.263575
0.020000,6.234873 ,9.994675 ,0.489161 ,1.393054,1.990077    ,0.000000  ,6.262639
0.020000,6.263126 ,9.994081 ,0.517420 ,1.432856,1.990077    ,0.000000  ,6.261703
0.020000,6.292174 ,9.993444 ,0.546475 ,1.472657,1.990077    ,-0.000000 ,6.260772
0.020000,6.322018 ,9.992761 ,0.576326 ,1.512459,1.990077    ,0.000000  ,6.259846
0.020000,6.352656 ,9.992031 ,0.606974 ,1.552260,1.990077    ,-0.000000 ,6.258930
0.020000,6.384090 ,9.991254 ,0.638417 ,1.592062,1.990077    ,0.000000  ,6.258025
0.020000,6.416318 ,9.990429 ,0.670656 ,1.631863,1.990077    ,-0.000000 ,6.257134
0.020000,6.449342 ,9.989554 ,0.703691 ,1.671665,1.990077    ,0.000000  ,6.256260
0.020000,6.483161 ,9.988628 ,0.737523 ,1.711467,1.990077    ,-0.000000 ,6.255405
0.020000,6.517774 ,9.987652 ,0.772150 ,1.751268,1.990077    ,0.000000  ,6.254574
0.020000,6.553183 ,9.986624 ,0.807573 ,1.791070,1.990077    ,-0.000000 ,6.253768
0.020000,6.589386 ,9.985545 ,0.843793 ,1.830871,1.990077    ,0.000000  ,6.252991
0.020000,6.626384 ,9.984413 ,0.880808 ,1.870673,1.990077    ,-0.000000 ,6.252245
0.020000,6.664177 ,9.983230 ,0.918620 ,1.910474,1.990077    ,0.000000  ,6.251535
0.020000,6.702765 ,9.981995 ,0.957227 ,1.950276,1.990077    ,-0.000000 ,6.250862
0.020000,6.742147 ,9.980709 ,0.996631 ,1.990077,1.990077    ,0.000000  ,6.250232
0.020000,6.782325 ,9.979373 ,1.036830 ,2.029879,1.990077    ,-0.000000 ,6.249646
0.020000,6.823297 ,9.977987 ,1.077826 ,2.069680,1.990077    ,0.000000  ,6.249108
0.020000,6.865064 ,9.976553 ,1.119618 ,2.109482,1.990077    ,0.000000  ,6.248623
0.020000,6.907626 ,9.975072 ,1.162205 ,2.149284,1.990077    ,-0.000000 ,6.248193
0.020000,6.950983 ,9.973545 ,1.205589 ,2.189085,1.990077    ,0.000000  ,6.247822
0.020000,6.995135 ,9.971976 ,1.249769 ,2.228887,1.990077    ,0.000000  ,6.247513
0.020000,7.040081 ,9.970367 ,1.294744 ,2.268688,1.990077    ,0.000000  ,6.247272
0.020000,7.085824 ,9.968719 ,1.340516 ,2.308490,1.990077    ,-0.000000 ,6.247101
