dt      ,x        ,y        ,position ,velocity,acceleration,jerk      ,heading
0.020000,5.750000 ,10.000000,0.000057 ,0.005714,0.285714    ,14.285714 ,0.001658
0.020000,5.750000 ,10.000000,0.000286 ,0.017143,0.571429    ,14.285714 ,0.001630
0.020000,5.750000 ,10.000000,0.000800 ,0.034286,0.857143    ,14.285714 ,0.001568
0.020000,5.750000 ,10.000000,0.001714 ,0.057143,1.142857    ,14.285714 ,0.001458
0.020000,5.750000 ,10.000000,0.003143 ,0.085714,1.428571    ,14.285714 ,0.001286
0.020000,5.750000 ,10.000000,0.005200 ,0.120000,1.714286    ,14.285714 ,0.001039
0.020000,5.750000 ,10.000000,0.008000 ,0.160000,2.000000    ,14.285714 ,0.000702
0.020000,5.750000 ,10.000000,0.011600 ,0.200000,2.000000    ,0.000000  ,0.000269
0.020000,5.752159 ,10.000000,0.016000 ,0.240000,2.000000    ,-0.000000 ,6.282926
0.020000,5.757360 ,9.999997 ,0.021200 ,0.280000,2.000000    ,0.000000  ,6.282301
0.020000,5.763359 ,9.999989 ,0.027200 ,0.320000,2.000000    ,-0.000000 ,6.281580
0.020000,5.770160 ,9.999976 ,0.034000 ,0.360000,2.000000    ,0.000000  ,6.280763
0.020000,5.777759 ,9.999954 ,0.041600 ,0.400000,2.000000    ,0.000000  ,6.279850
0.020000,5.786160 ,9.999921 ,0.050000 ,0.440000,2.000000    ,-0.000000 ,6.278842
0.020000,5.795359 ,9.999876 ,0.059200 ,0.480000,2.000000    ,0.000000  ,6.277737
0.020000,5.805359 ,9.999816 ,0.069200 ,0.520000,2.000000    ,0.000000  ,6.276538
0.020000,5.816159 ,9.999737 ,0.080000 ,0.560000,2.000000    ,0.000000  ,6.275242
0.020000,5.827759 ,9.999637 ,0.091600 ,0.600000,2.000000    ,-0.000000 ,6.273852
0.020000,5.840158 ,9.999512 ,0.104000 ,0.640000,2.000000    ,0.000000  ,6.272366
0.020000,5.853357 ,9.999359 ,0.117200 ,0.680000,2.000000    ,-0.000000 ,6.270785
0.020000,5.867356 ,9.999173 ,0.131200 ,0.720000,2.000000    ,0.000000  ,6.269110
0.020000,5.882154 ,9.998952 ,0.146000 ,0.760000,2.000000    ,0.000000  ,6.267340
0.020000,5.897752 ,9.998690 ,0.161600 ,0.800000,2.000000    ,0.000000  ,6.265475
0.020000,5.914149 ,9.998384 ,0.178000 ,0.840000,2.000000    ,-0.000000 ,6.263517
0.020000,5.931345 ,9.998028 ,0.195200 ,0.880000,2.000000    ,0.000000  ,6.261464
