dt      ,x        ,y        ,position ,velocity,acceleration,jerk       ,heading
0.020000,17.019787,13.176412,0.000057 ,0.005692,0.284586    ,14.229311  ,3.142253
0.020000,17.019762,13.176412,0.000082 ,0.001253,-0.221930   ,-25.325802 ,3.142233
0.020000,17.019706,13.176412,0.000138 ,0.002820,0.078339    ,15.013420  ,3.142188
0.020000,17.019605,13.176412,0.000239 ,0.005014,0.109725    ,1.569298   ,3.142108
0.020000,17.019448,13.176412,0.000395 ,0.007838,0.141188    ,1.573177   ,3.141982
0.020000,17.019223,13.176412,0.000621 ,0.011294,0.172779    ,1.579534   ,3.141802
0.020000,17.018495,13.176412,0.001349 ,0.036397,1.255162    ,54.119145  ,3.141556
0.020000,17.014512,13.176413,0.005332 ,0.199119,8.136100    ,344.046908 ,3.141239
0.020000,17.009645,13.176416,0.010199 ,0.243361,2.212110    ,-296.199479,3.140851
0.020000,17.003891,13.176421,0.015953 ,0.287696,2.216725    ,0.230719   ,3.140391
0.020000,16.997250,13.176431,0.022593 ,0.332036,2.217020    ,0.014763   ,3.139860
0.020000,16.989722,13.176446,0.030121 ,0.376399,2.218157    ,0.056852   ,3.139256
0.020000,16.981306,13.176469,0.038538 ,0.420809,2.220478    ,0.116051   ,3.138579
0.020000,16.972001,13.176500,0.047843 ,0.465261,2.222628    ,0.107488   ,3.137828
0.020000,16.961806,13.176543,0.058038 ,0.509753,2.224606    ,0.098924   ,3.137003
0.020000,16.950720,13.176599,0.069124 ,0.554319,2.228255    ,0.182422   ,3.136102
0.020000,16.938741,13.176670,0.081103 ,0.598948,2.231499    ,0.162199   ,3.135125
0.020000,16.925870,13.176760,0.093975 ,0.643595,2.232347    ,0.042408   ,3.134071
0.020000,16.912103,13.176872,0.107743 ,0.688367,2.238573    ,0.311287   ,3.132938
0.020000,16.897440,13.177007,0.122406 ,0.733188,2.241075    ,0.125145   ,3.131725
0.020000,16.881879,13.177171,0.137968 ,0.778079,2.244540    ,0.173216   ,3.130432
0.020000,16.865419,13.177366,0.154429 ,0.823067,2.249380    ,0.242021   ,3.129056
0.020000,16.848057,13.177596,0.171792 ,0.868149,2.254088    ,0.235394   ,3.127596
0.020000,16.829793,13.177866,0.190059 ,0.913322,2.258664    ,0.228804   ,3.126051
0.020000,16.810624,13.178180,0.209230 ,0.958584,2.263109    ,0.222266   ,3.124419
0.020000,16.790547,13.178542,0.229311 ,1.004020,2.271790    ,0.434005   ,3.122699
0.020000,16.769561,13.178957,0.250301 ,1.049495,2.273769    ,0.098963   ,3.120887
0.020000,16.747663,13.179432,0.272204 ,1.095164,2.283432    ,0.483183   ,3.118983
0.020000,16.724851,13.179970,0.295022 ,1.140908,2.287219    ,0.189307   ,3.116984
0.020000,16.701122,13.180579,0.318758 ,1.186814,2.295309    ,0.404514   ,3.114888
0.020000,16.676474,13.181265,0.343416 ,1.232881,2.303341    ,0.401627   ,3.112692
0.020000,16.650904,13.182033,0.368998 ,1.279108,2.311319    ,0.398883   ,3.110394
0.020000,16.624408,13.182892,0.395508 ,1.325493,2.319245    ,0.396313   ,3.107992
0.020000,16.596984,13.183848,0.422949 ,1.372035,2.327124    ,0.393954   ,3.105482
0.020000,16.568628,13.184910,0.451324 ,1.418764,2.336456    ,0.466565   ,3.102862
0.020000,16.539337,13.186085,0.480639 ,1.465729,2.348248    ,0.589593   ,3.100129
0.020000,16.509108,13.187382,0.510896 ,1.512855,2.356273    ,0.401286   ,3.097278
0.020000,16.477937,13.188810,0.542100 ,1.560196,2.367086    ,0.540630   ,3.094308
0.020000,16.445819,13.190380,0.574255 ,1.607785,2.379462    ,0.618825   ,3.091213
0.020000,16.412752,13.192101,0.607368 ,1.655624,2.391916    ,0.622680   ,3.087991
0.020000,16.378729,13.193983,0.641442 ,1.703713,2.404456    ,0.626977   ,3.084637
0.020000,16.343749,13.196039,0.676483 ,1.752055,2.417091    ,0.631785   ,3.081147
0.020000,16.307805,13.198279,0.712496 ,1.800651,2.429835    ,0.637178   ,3.077517
0.020000,16.270894,13.200718,0.749488 ,1.849594,2.447142    ,0.865383   ,3.073741
0.020000,16.233011,13.203367,0.787464 ,1.898786,2.459565    ,0.621116   ,3.069815
0.020000,16.194149,13.206240,0.826431 ,1.948390,2.480197    ,1.031601   ,3.065734
0.020000,16.154305,13.209353,0.866397 ,1.998272,2.494115    ,0.695898   ,3.061492
0.020000,16.113473,13.212721,0.907367 ,2.048527,2.512767    ,0.932590   ,3.057083
0.020000,16.071648,13.216361,0.949351 ,2.099162,2.531728    ,0.948069   ,3.052501
0.020000,16.028824,13.220289,0.992355 ,2.150200,2.551919    ,1.009543   ,3.047740
0.020000,15.984994,13.224524,1.036389 ,2.201704,2.575199    ,1.164031   ,3.042793
0.020000,15.940154,13.229084,1.081460 ,2.253559,2.592764    ,0.878221   ,3.037653
0.020000,15.894296,13.233992,1.127580 ,2.305993,2.621689    ,1.446237   ,3.032313
0.020000,15.847415,13.239267,1.174757 ,2.358844,2.642541    ,1.042632   ,3.026764
0.020000,15.799504,13.244932,1.223001 ,2.412228,2.669184    ,1.332156   ,3.020998
0.020000,15.750557,13.251012,1.272324 ,2.466162,2.696718    ,1.376688   ,3.015006
0.020000,15.700567,13.257532,1.322738 ,2.520660,2.724894    ,1.408781   ,3.008780
0.020000,15.649528,13.264518,1.374253 ,2.575781,2.756062    ,1.558422   ,3.002310
0.020000,15.597431,13.272000,1.426884 ,2.631541,2.787997    ,1.596757   ,2.995585
0.020000,15.544272,13.280007,1.480643 ,2.687951,2.820485    ,1.624406   ,2.988595
0.020000,15.490043,13.288570,1.535544 ,2.745056,2.855250    ,1.738251   ,2.981329
0.020000,15.434737,13.297724,1.591603 ,2.802921,2.893259    ,1.900441   ,2.973774
0.020000,15.378347,13.307504,1.648834 ,2.861565,2.932226    ,1.948335   ,2.965919
0.020000,15.320868,13.317949,1.707254 ,2.921009,2.972182    ,1.997812   ,2.957750
0.020000,15.262294,13.329097,1.766880 ,2.981272,3.013161    ,2.048940   ,2.949253
0.020000,15.202618,13.340992,1.827730 ,3.042527,3.062737    ,2.478791   ,2.940415
0.020000,15.141835,13.353678,1.889823 ,3.104625,3.104916    ,2.108943   ,2.931220
0.020000,15.079941,13.367203,1.953177 ,3.167736,3.155516    ,2.530021   ,2.921653
0.020000,15.016931,13.381618,2.017815 ,3.231880,3.207237    ,2.586069   ,2.911698
0.020000,14.952803,13.396976,2.083757 ,3.297082,3.260060    ,2.641124   ,2.901336
