dt      ,x        ,y        ,position ,velocity,acceleration,jerk      ,heading
0.020000,17.018961,14.426412,0.000057 ,0.005692,0.284586    ,14.229311 ,3.142253
0.020000,17.018961,14.426412,0.000285 ,0.017075,0.569172    ,14.229311 ,3.142233
0.020000,17.018961,14.426412,0.000797 ,0.034150,0.853759    ,14.229311 ,3.142188
0.020000,17.018961,14.426412,0.001708 ,0.056917,1.138345    ,14.229311 ,3.142108
0.020000,17.018961,14.426412,0.003130 ,0.085376,1.422931    ,14.229311 ,3.141982
0.020000,17.018961,14.426412,0.005179 ,0.119526,1.707517    ,14.229311 ,3.141802
0.020000,17.018541,14.426412,0.007968 ,0.159368,1.992104    ,14.229311 ,3.141556
0.020000,17.014955,14.426413,0.011554 ,0.199210,1.992104    ,-0.000000 ,3.141239
0.020000,17.010573,14.426415,0.015937 ,0.239052,1.992104    ,0.000000  ,3.140851
0.020000,17.005393,14.426420,0.021116 ,0.278895,1.992104    ,0.000000  ,3.140391
0.020000,16.999416,14.426429,0.027093 ,0.318737,1.992104    ,0.000000  ,3.139860
0.020000,16.992643,14.426443,0.033866 ,0.358579,1.992104    ,0.000000  ,3.139256
0.020000,16.985073,14.426463,0.041436 ,0.398421,1.992104    ,-0.000000 ,3.138579
0.020000,16.976707,14.426491,0.049803 ,0.438263,1.992104    ,0.000000  ,3.137828
0.020000,16.967543,14.426530,0.058966 ,0.478105,1.992104    ,-0.000000 ,3.137003
0.020000,16.957583,14.426580,0.068927 ,0.517947,1.992104    ,0.000000  ,3.136102
0.020000,16.946825,14.426644,0.079684 ,0.557789,1.992104    ,0.000000  ,3.135125
0.020000,16.935272,14.426725,0.091238 ,0.597631,1.992104    ,0.000000  ,3.134071
0.020000,16.922921,14.426825,0.103589 ,0.637473,1.992104    ,0.000000  ,3.132938
0.020000,16.909774,14.426947,0.116737 ,0.677315,1.992104    ,0.000000  ,3.131725
0.020000,16.895830,14.427093,0.130682 ,0.717157,1.992104    ,0.000000  ,3.130432
0.020000,16.881089,14.427268,0.145424 ,0.756999,1.992104    ,-0.000000 ,3.129056
0.020000,16.865552,14.427474,0.160962 ,0.796841,1.992104    ,0.000000  ,3.127596
0.020000,16.849219,14.427715,0.177297 ,0.836684,1.992104    ,0.000000  ,3.126051
0.020000,16.832089,14.427995,0.194429 ,0.876526,1.992104    ,-0.000000 ,3.124419
0.020000,16.814163,14.428319,0.212358 ,0.916368,1.992104    ,0.000000  ,3.122699
0.020000,16.795441,14.428689,0.231084 ,0.956210,1.992104    ,-0.000000 ,3.120887
0.020000,16.775923,14.429112,0.250607 ,0.996052,1.992104    ,0.000000  ,3.118983
0.020000,16.755609,14.429592,0.270926 ,1.035894,1.992104    ,0.000000  ,3.116984
0.020000,16.734500,14.430134,0.292042 ,1.075736,1.992104    ,0.000000  ,3.114888
0.020000,16.712595,14.430743,0.313956 ,1.115578,1.992104    ,-0.000000 ,3.112692
0.020000,16.689895,14.431425,0.336666 ,1.155420,1.992104    ,0.000000  ,3.110394
0.020000,16.666401,14.432186,0.360172 ,1.195262,1.992104    ,0.000000  ,3.107992
0.020000,16.642112,14.433033,0.384476 ,1.235104,1.992104    ,-0.000000 ,3.105482
0.020000,16.617029,14.433972,0.409576 ,1.274946,1.992104    ,0.000000  ,3.102862
0.020000,16.591152,14.435010,0.435474 ,1.314788,1.992104    ,-0.000000 ,3.100129
0.020000,16.564483,14.436155,0.462168 ,1.354630,1.992104    ,0.000000  ,3.097278
0.020000,16.537021,14.437413,0.489659 ,1.394473,1.992104    ,0.000000  ,3.094308
0.020000,16.508767,14.438794,0.517947 ,1.434315,1.992104    ,-0.000000 ,3.091213
0.020000,16.479721,14.440305,0.547032 ,1.474157,1.992104    ,0.000000  ,3.087991
0.020000,16.449885,14.441956,0.576913 ,1.513999,1.992104    ,-0.000000 ,3.084637
0.020000,16.419259,14.443756,0.607592 ,1.553841,1.992104    ,0.000000  ,3.081147
0.020000,16.387845,14.445714,0.639067 ,1.593683,1.992104    ,-0.000000 ,3.077517
0.020000,16.355643,14.447841,0.671339 ,1.633525,1.992104    ,0.000000  ,3.073741
0.020000,16.322655,14.450148,0.704408 ,1.673367,1.992104    ,0.000000  ,3.069815
0.020000,16.288881,14.452645,0.738274 ,1.713209,1.992104    ,-0.000000 ,3.065734
0.020000,16.254324,14.455345,0.772936 ,1.753051,1.992104    ,0.000000  ,3.061492
0.020000,16.218985,14.458260,0.808396 ,1.792893,1.992104    ,-0.000000 ,3.057083
0.020000,16.182865,14.461403,0.844652 ,1.832735,1.992104    ,0.000000  ,3.052501
0.020000,16.145967,14.464788,0.881705 ,1.872577,1.992104    ,-0.000000 ,3.047740
0.020000,16.108292,14.468428,0.919555 ,1.912419,1.992104    ,-0.000000 ,3.042793
0.020000,16.069844,14.472338,0.958202 ,1.952262,1.992104    ,0.000000  ,3.037653
0.020000,16.030624,14.476535,0.997645 ,1.992104,1.992104    ,-0.000000 ,3.032313
0.020000,15.990636,14.481034,1.037886 ,2.031946,1.992104    ,0.000000  ,3.026764
0.020000,15.949883,14.485854,1.078923 ,2.071788,1.992104    ,-0.000000 ,3.020998
0.020000,15.908368,14.491010,1.120757 ,2.111630,1.992104    ,0.000000  ,3.015006
0.020000,15.866095,14.496524,1.163388 ,2.151472,1.992104    ,0.000000  ,3.008780
0.020000,15.823068,14.502413,1.206816 ,2.191314,1.992104    ,-0.000000 ,3.002310
0.020000,15.779293,14.508700,1.251041 ,2.231156,1.992104    ,0.000000  ,2.995585
0.020000,15.734773,14.515405,1.296063 ,2.270998,1.992104    ,0.000000  ,2.988595
0.020000,15.689516,14.522552,1.341881 ,2.310840,1.992104    ,0.000000  ,2.981329
0.020000,15.643527,14.530163,1.388496 ,2.350682,1.992104    ,-0.000000 ,2.973774
0.020000,15.596812,14.538266,1.435908 ,2.390524,1.992104    ,0.000000  ,2.965919
0.020000,15.549380,14.546884,1.484117 ,2.430366,1.992104    ,-0.000000 ,2.957750
0.020000,15.501239,14.556047,1.533123 ,2.470208,1.992104    ,0.000000  ,2.949253
0.020000,15.452397,14.565782,1.582926 ,2.510051,1.992104    ,0.000000  ,2.940415
0.020000,15.402865,14.576120,1.633525 ,2.549893,1.992104    ,-0.000000 ,2.931220
0.020000,15.352654,14.587092,1.684921 ,2.589735,1.992104    ,0.000000  ,2.921653
0.020000,15.301775,14.598731,1.737114 ,2.629577,1.992104    ,-0.000000 ,2.911698
0.020000,15.250242,14.611072,1.790104 ,2.669419,1.992104    ,0.000000  ,2.901336
0.020000,15.198071,14.624151,1.843891 ,2.709261,1.992104    ,0.000000  ,2.890551
0.020000,15.145274,14.638006,1.898475 ,2.749103,1.992104    ,0.000000  ,2.879324
0.020000,15.091873,14.652675,1.953855 ,2.788945,1.992104    ,0.000000  ,2.867636
0.020000,15.037884,14.668201,2.010033 ,2.828787,1.992104    ,-0.000000 ,2.855467
0.020000,14.983329,14.684625,2.067007 ,2.868629,1.992104    ,0.000000  ,2.842797
0.020000,14.928231,14.701993,2.124778 ,2.908471,1.992104    ,-0.000000 ,2.829605
0.020000,14.872615,14.720351,2.183346 ,2.948313,1.992104    ,0.000000  ,2.815870
0.020000,14.816509,14.739747,2.242710 ,2.988155,1.992104    ,-0.000000 ,2.801571
0.020000,14.759942,14.760231,2.302872 ,3.027997,1.992104    ,0.000000  ,2.786685
0.020000,14.702949,14.781854,2.363830 ,3.067840,1.992104    ,0.000000  ,2.771192
0.020000,14.645564,14.804670,2.425585 ,3.107682,1.992104    ,0.000000  ,2.755069
0.020000,14.587826,14.828733,2.488137 ,3.147524,1.992104    ,0.000000  ,2.738297
0.020000,14.529778,14.854099,2.551486 ,3.187366,1.992104    ,-0.000000 ,2.720856
0.020000,14.471466,14.880825,2.615632 ,3.227208,1.992104    ,0.000000  ,2.702726
0.020000,14.412940,14.908970,2.680575 ,3.267050,1.992104    ,-0.000000 ,2.683891
0.020000,14.354254,14.938591,2.746314 ,3.306892,1.992104    ,0.000000  ,2.664336
0.020000,14.295465,14.969749,2.812850 ,3.346734,1.992104    ,-0.000000 ,2.644049
0.020000,14.236637,15.002503,2.880183 ,3.386576,1.992104    ,0.000000  ,2.623019
0.020000,14.177835,15.036910,2.948313 ,3.426418,1.992104    ,0.000000  ,2.601242
0.020000,14.119131,15.073029,3.017240 ,3.466260,1.992104    ,0.000000  ,2.578717
0.020000,14.060601,15.110915,3.086964 ,3.506102,1.992104    ,0.000000  ,2.555448
0.020000,14.002324,15.150623,3.157484 ,3.545944,1.992104    ,-0.000000 ,2.531444
0.020000,13.944385,15.192203,3.228802 ,3.585786,1.992104    ,0.000000  ,2.506722
0.020000,13.886871,15.235703,3.300916 ,3.625629,1.992104    ,0.000000  ,2.481305
0.020000,13.829873,15.281167,3.373827 ,3.665471,1.992104    ,0.000000  ,2.455222
0.020000,13.773485,15.328632,3.447534 ,3.705313,1.992104    ,-0.000000 ,2.428512
0.020000,13.717804,15.378132,3.522039 ,3.745155,1.992104    ,0.000000  ,2.401221
0.020000,13.662928,15.429694,3.597341 ,3.784997,1.992104    ,-0.000000 ,2.373401
0.020000,13.608955,15.483336,3.673439 ,3.824839,1.992104    ,0.000000  ,2.345114
0.020000,13.555984,15.539071,3.750334 ,3.864681,1.992104    ,0.000000  ,2.316427
0.020000,13.504110,15.596905,3.828026 ,3.904523,1.992104    ,0.000000  ,2.287415
0.020000,13.453429,15.656834,3.906515 ,3.944365,1.992104    ,0.000000  ,2.258154
0.020000,13.404032,15.718848,3.985801 ,3.984207,1.992104    ,-0.000000 ,2.228730
0.020000,13.356006,15.782928,4.065883 ,4.024049,1.992104    ,0.000000  ,2.199226
0.020000,13.309433,15.849049,4.146763 ,4.063891,1.992104    ,0.000000  ,2.169729
0.020000,13.264388,15.917177,4.228439 ,4.103733,1.992104    ,0.000000  ,2.140324
0.020000,13.220940,15.987274,4.310912 ,4.143575,1.992104    ,-0.000000 ,2.111095
0.020000,13.179151,16.059295,4.394182 ,4.183418,1.992104    ,0.000000  ,2.082122
0.020000,13.139073,16.133190,4.478249 ,4.223260,1.992104    ,-0.000000 ,2.053480
0.020000,13.100754,16.208907,4.563112 ,4.263102,1.992104    ,0.000000  ,2.025239
0.020000,13.064231,16.286388,4.648773 ,4.302944,1.992104    ,0.000000  ,1.997462
