dt      ,x        ,y        ,position,velocity,acceleration,jerk       ,heading
0.020000,17.018136,15.676412,0.000057,0.005692,0.284586    ,14.229311  ,3.142253
0.020000,17.018161,15.676412,0.000082,0.001253,-0.221930   ,-25.325802 ,3.142233
0.020000,17.018217,15.676412,0.000138,0.002820,0.078339    ,15.013420  ,3.142188
0.020000,17.018317,15.676412,0.000239,0.005014,0.109725    ,1.569298   ,3.142108
0.020000,17.018474,15.676412,0.000395,0.007838,0.141188    ,1.573177   ,3.141982
0.020000,17.018700,15.676412,0.000621,0.011294,0.172779    ,1.579534   ,3.141802
0.020000,17.018587,15.676412,0.000734,0.005626,-0.283396   ,-22.808724 ,3.141556
0.020000,17.015397,15.676413,0.003924,0.159503,7.693840    ,398.861791 ,3.141239
0.020000,17.011500,15.676415,0.007821,0.194869,1.768315    ,-296.276240,3.140851
0.020000,17.006895,15.676419,0.012427,0.230265,1.769793    ,0.073873   ,3.140391
0.020000,17.001582,15.676427,0.017739,0.265613,1.767397    ,-0.119778  ,3.139860
0.020000,16.995564,15.676439,0.023757,0.300918,1.765258    ,-0.106980  ,3.139256
0.020000,16.988840,15.676457,0.030481,0.336191,1.763640    ,-0.080879  ,3.138579
0.020000,16.981412,15.676483,0.037909,0.371420,1.761453    ,-0.109339  ,3.137828
0.020000,16.973280,15.676516,0.046041,0.406594,1.758690    ,-0.138139  ,3.137003
0.020000,16.964446,15.676561,0.054876,0.441730,1.756811    ,-0.093977  ,3.136102
0.020000,16.954910,15.676618,0.064412,0.476813,1.754149    ,-0.133119  ,3.135125
0.020000,16.944674,15.676690,0.074648,0.511795,1.749112    ,-0.251821  ,3.134071
0.020000,16.933739,15.676778,0.085583,0.546752,1.747873    ,-0.061965  ,3.132938
0.020000,16.922107,15.676886,0.097215,0.581616,1.743178    ,-0.234725  ,3.131725
0.020000,16.909780,15.677015,0.109543,0.616391,1.738743    ,-0.221766  ,3.130432
0.020000,16.896759,15.677170,0.122565,0.651088,1.734876    ,-0.193341  ,3.129056
0.020000,16.883047,15.677352,0.136279,0.685696,1.730364    ,-0.225593  ,3.127596
0.020000,16.868644,15.677564,0.150683,0.720200,1.725193    ,-0.258583  ,3.126051
0.020000,16.853555,15.677811,0.165775,0.754586,1.719346    ,-0.292338  ,3.124419
0.020000,16.837779,15.678096,0.181553,0.788911,1.716234    ,-0.155591  ,3.122699
0.020000,16.821321,15.678421,0.198014,0.823056,1.707238    ,-0.449812  ,3.120887
0.020000,16.804183,15.678793,0.215156,0.857129,1.703635    ,-0.180118  ,3.118983
0.020000,16.786367,15.679213,0.232977,0.891024,1.694762    ,-0.443660  ,3.116984
0.020000,16.767877,15.679688,0.251473,0.924795,1.688569    ,-0.309649  ,3.114888
0.020000,16.748716,15.680221,0.270641,0.958427,1.681607    ,-0.348133  ,3.112692
0.020000,16.728887,15.680817,0.290480,0.991904,1.673849    ,-0.387857  ,3.110394
0.020000,16.708393,15.681481,0.310984,1.025210,1.665272    ,-0.428860  ,3.107992
0.020000,16.687240,15.682218,0.332150,1.058327,1.655849    ,-0.471179  ,3.105482
0.020000,16.665430,15.683035,0.353975,1.091261,1.646699    ,-0.457466  ,3.102862
0.020000,16.642967,15.683936,0.376456,1.124032,1.638547    ,-0.407640  ,3.100129
0.020000,16.619857,15.684928,0.399587,1.156563,1.626572    ,-0.598731  ,3.097278
0.020000,16.596105,15.686016,0.423365,1.188879,1.615769    ,-0.540167  ,3.094308
0.020000,16.571714,15.687208,0.447785,1.220981,1.605135    ,-0.531676  ,3.091213
0.020000,16.546691,15.688510,0.472842,1.252851,1.593485    ,-0.582511  ,3.087991
0.020000,16.521041,15.689929,0.498531,1.284466,1.580778    ,-0.635338  ,3.084637
0.020000,16.494770,15.691473,0.524847,1.315806,1.566974    ,-0.690205  ,3.081147
0.020000,16.467885,15.693149,0.551784,1.346847,1.552031    ,-0.747160  ,3.077517
0.020000,16.440393,15.694965,0.579337,1.377631,1.539208    ,-0.641145  ,3.073741
0.020000,16.412300,15.696929,0.607498,1.408058,1.521385    ,-0.891139  ,3.069815
0.020000,16.383614,15.699051,0.636262,1.438223,1.508231    ,-0.657730  ,3.065734
0.020000,16.354343,15.701337,0.665622,1.467995,1.488605    ,-0.981294  ,3.061492
0.020000,16.324496,15.703799,0.695570,1.497413,1.470912    ,-0.884655  ,3.057083
0.020000,16.294082,15.706446,0.726099,1.526449,1.451791    ,-0.956035  ,3.052501
0.020000,16.263111,15.709287,0.757201,1.555086,1.431832    ,-0.997955  ,3.047740
