dt      ,x        ,y        ,position ,velocity,acceleration,jerk        ,heading
0.020000,15.492147,21.490607,0.000057 ,0.005685,0.284258    ,14.212918   ,3.928825
0.020000,15.492127,21.490586,0.000086 ,0.001443,-0.212092   ,-24.817529  ,3.928801
0.020000,15.492081,21.490540,0.000151 ,0.003248,0.090222    ,15.115726   ,3.928750
0.020000,15.491999,21.490459,0.000266 ,0.005775,0.126352    ,1.806492    ,3.928657
0.020000,15.491872,21.490331,0.000447 ,0.009026,0.162545    ,1.809632    ,3.928513
0.020000,15.491688,21.490147,0.000707 ,0.013003,0.198840    ,1.814777    ,3.928305
0.020000,15.491438,21.489896,0.001061 ,0.017708,0.235289    ,1.822434    ,3.928021
0.020000,15.491116,21.489573,0.001517 ,0.022785,0.253860    ,0.928525    ,3.927657
0.020000,15.490722,21.489179,0.002074 ,0.027876,0.254524    ,0.033202    ,3.927211
0.020000,15.488119,21.486577,0.005755 ,0.184031,7.807737    ,377.660652  ,3.926683
0.020000,15.483353,21.481817,0.012490 ,0.336785,7.637723    ,-8.500662   ,3.926072
0.020000,15.477953,21.476430,0.020118 ,0.381402,2.230849    ,-270.343719 ,3.925379
0.020000,15.471905,21.470406,0.028654 ,0.426795,2.269640    ,1.939533    ,3.924601
0.020000,15.465215,21.463754,0.038088 ,0.471702,2.245335    ,-1.215224   ,3.923739
0.020000,15.457878,21.456471,0.048426 ,0.516893,2.259563    ,0.711365    ,3.922792
0.020000,15.449893,21.448561,0.059666 ,0.562002,2.255457    ,-0.205256   ,3.921758
0.020000,15.441252,21.440020,0.071816 ,0.607484,2.274118    ,0.933019    ,3.920636
0.020000,15.431962,21.430858,0.084864 ,0.652400,2.245792    ,-1.416266   ,3.919426
0.020000,15.422006,21.421064,0.098829 ,0.698268,2.293399    ,2.380328    ,3.918126
0.020000,15.411389,21.410648,0.113703 ,0.743680,2.270614    ,-1.139253   ,3.916735
0.020000,15.400107,21.399612,0.129485 ,0.789093,2.270617    ,0.000149    ,3.915251
0.020000,15.388156,21.387956,0.146179 ,0.834693,2.279989    ,0.468600    ,3.913674
0.020000,15.375529,21.375682,0.163789 ,0.880500,2.290379    ,0.519503    ,3.912000
0.020000,15.362218,21.362787,0.182321 ,0.926626,2.306307    ,0.796409    ,3.910229
0.020000,15.348222,21.349278,0.201773 ,0.972570,2.297200    ,-0.455334   ,3.908358
0.020000,15.333537,21.335158,0.222146 ,1.018651,2.304036    ,0.341756    ,3.906386
0.020000,15.318155,21.320428,0.243443 ,1.064856,2.310233    ,0.309883    ,3.904310
0.020000,15.302067,21.305087,0.265672 ,1.111470,2.330692    ,1.022913    ,3.902128
0.020000,15.285269,21.289141,0.288834 ,1.158085,2.330764    ,0.003610    ,3.899838
0.020000,15.267756,21.272593,0.312928 ,1.204729,2.332214    ,0.072507    ,3.897437
0.020000,15.249521,21.255449,0.337957 ,1.251446,2.335839    ,0.181250    ,3.894923
0.020000,15.230555,21.237709,0.363927 ,1.298464,2.350900    ,0.753058    ,3.892292
0.020000,15.210844,21.219371,0.390849 ,1.346135,2.383543    ,1.632126    ,3.889541
0.020000,15.190391,21.200449,0.418712 ,1.393137,2.350091    ,-1.672601   ,3.886668
0.020000,15.169175,21.180938,0.447536 ,1.441209,2.403627    ,2.676824    ,3.883669
0.020000,15.147197,21.160850,0.477311 ,1.488727,2.375879    ,-1.387425   ,3.880540
0.020000,15.124437,21.140179,0.508057 ,1.537289,2.428132    ,2.612656    ,3.877278
0.020000,15.100896,21.118942,0.539762 ,1.585253,2.398165    ,-1.498336   ,3.873878
0.020000,15.076552,21.097134,0.572445 ,1.634157,2.445197    ,2.351621    ,3.870337
0.020000,15.051398,21.074762,0.606108 ,1.683183,2.451325    ,0.306370    ,3.866649
0.020000,15.025423,21.051836,0.640754 ,1.732264,2.454034    ,0.135455    ,3.862810
0.020000,14.998614,21.028360,0.676389 ,1.781750,2.474295    ,1.013050    ,3.858815
0.020000,14.970957,21.004339,0.713021 ,1.831629,2.493983    ,0.984394    ,3.854660
0.020000,14.942436,20.979779,0.750659 ,1.881891,2.513091    ,0.955437    ,3.850337
0.020000,14.913037,20.954688,0.789310 ,1.932523,2.531618    ,0.926314    ,3.845842
0.020000,14.882745,20.929074,0.828980 ,1.983515,2.549561    ,0.897174    ,3.841168
0.020000,14.851543,20.902945,0.869677 ,2.034853,2.566925    ,0.868179    ,3.836309
0.020000,14.819417,20.876311,0.911407 ,2.086527,2.583715    ,0.839500    ,3.831258
0.020000,14.786346,20.849180,0.954183 ,2.138799,2.613589    ,1.493692    ,3.826007
0.020000,14.752306,20.821558,0.998021 ,2.191868,2.653438    ,1.992447    ,3.820548
0.020000,14.717289,20.793465,1.042914 ,2.244656,2.639410    ,-0.701397   ,3.814875
0.020000,14.681260,20.764901,1.088892 ,2.298927,2.713549    ,3.706983    ,3.808978
0.020000,14.644212,20.735890,1.135947 ,2.352747,2.690970    ,-1.128950   ,3.802848
0.020000,14.606106,20.706433,1.184112 ,2.408227,2.774046    ,4.153810    ,3.796475
0.020000,14.566928,20.676552,1.233384 ,2.463597,2.768458    ,-0.279401   ,3.789850
0.020000,14.526653,20.646262,1.283778 ,2.519707,2.805503    ,1.852208    ,3.782962
0.020000,14.485251,20.615578,1.335311 ,2.576630,2.846184    ,2.034092    ,3.775800
0.020000,14.442694,20.584517,1.387998 ,2.634358,2.886374    ,2.009456    ,3.768352
0.020000,14.398951,20.553097,1.441855 ,2.692879,2.926056    ,1.984121    ,3.760606
0.020000,14.353993,20.521339,1.496899 ,2.752183,2.965222    ,1.958289    ,3.752547
0.020000,14.307788,20.489267,1.553144 ,2.812261,3.003865    ,1.932159    ,3.744164
0.020000,14.260305,20.456906,1.610606 ,2.873100,3.041983    ,1.905917    ,3.735442
0.020000,14.211504,20.424278,1.669310 ,2.935170,3.103458    ,3.073719    ,3.726365
0.020000,14.161348,20.391413,1.729274 ,2.998202,3.151636    ,2.408898    ,3.716917
0.020000,14.109803,20.358344,1.790515 ,3.062083,3.194043    ,2.120361    ,3.707083
0.020000,14.056828,20.325102,1.853056 ,3.127047,3.248180    ,2.706856    ,3.696844
0.020000,14.002374,20.291721,1.916928 ,3.193578,3.326571    ,3.919548    ,3.686181
0.020000,13.946405,20.258243,1.982145 ,3.260839,3.363066    ,1.824742    ,3.675078
0.020000,13.888875,20.224712,2.048733 ,3.329420,3.429040    ,3.298729    ,3.663513
