dt      ,x        ,y        ,position ,velocity,acceleration,jerk      ,heading
0.020000,14.606644,22.372868,0.000057 ,0.005685,0.284258    ,14.212918 ,3.928825
0.020000,14.606644,22.372868,0.000284 ,0.017056,0.568517    ,14.212918 ,3.928801
0.020000,14.606644,22.372868,0.000796 ,0.034111,0.852775    ,14.212918 ,3.928750
0.020000,14.606644,22.372868,0.001706 ,0.056852,1.137033    ,14.212918 ,3.928657
0.020000,14.606644,22.372868,0.003127 ,0.085278,1.421292    ,14.212918 ,3.928513
0.020000,14.606644,22.372868,0.005174 ,0.119389,1.705550    ,14.212918 ,3.928305
0.020000,14.606644,22.372868,0.007959 ,0.159185,1.989809    ,14.212918 ,3.928021
0.020000,14.606644,22.372868,0.011541 ,0.198981,1.989809    ,0.000000  ,3.927657
0.020000,14.606644,22.372868,0.015918 ,0.238777,1.989809    ,0.000000  ,3.927211
0.020000,14.604508,22.370733,0.021092 ,0.278573,1.989809    ,-0.000000 ,3.926683
0.020000,14.600283,22.366512,0.027061 ,0.318369,1.989809    ,0.000000  ,3.926072
0.020000,14.595495,22.361737,0.033827 ,0.358166,1.989809    ,-0.000000 ,3.925379
0.020000,14.590136,22.356399,0.041388 ,0.397962,1.989809    ,0.000000  ,3.924601
0.020000,14.584211,22.350507,0.049745 ,0.437758,1.989809    ,0.000000  ,3.923739
0.020000,14.577714,22.344059,0.058898 ,0.477554,1.989809    ,0.000000  ,3.922792
0.020000,14.570647,22.337058,0.068847 ,0.517350,1.989809    ,-0.000000 ,3.921758
0.020000,14.563003,22.329502,0.079592 ,0.557146,1.989809    ,0.000000  ,3.920636
0.020000,14.554790,22.321402,0.091133 ,0.596943,1.989809    ,0.000000  ,3.919426
0.020000,14.545992,22.312748,0.103470 ,0.636739,1.989809    ,-0.000000 ,3.918126
0.020000,14.536617,22.303550,0.116603 ,0.676535,1.989809    ,0.000000  ,3.916735
0.020000,14.526661,22.293811,0.130531 ,0.716331,1.989809    ,0.000000  ,3.915251
0.020000,14.516121,22.283532,0.145256 ,0.756127,1.989809    ,0.000000  ,3.913674
0.020000,14.504994,22.272715,0.160777 ,0.795923,1.989809    ,0.000000  ,3.912000
0.020000,14.493274,22.261361,0.177093 ,0.835720,1.989809    ,0.000000  ,3.910229
0.020000,14.480961,22.249477,0.194205 ,0.875516,1.989809    ,0.000000  ,3.908358
0.020000,14.468052,22.237065,0.212114 ,0.915312,1.989809    ,-0.000000 ,3.906386
0.020000,14.454544,22.224129,0.230818 ,0.955108,1.989809    ,0.000000  ,3.904310
0.020000,14.440430,22.210671,0.250318 ,0.994904,1.989809    ,-0.000000 ,3.902128
0.020000,14.425709,22.196696,0.270614 ,1.034700,1.989809    ,-0.000000 ,3.899838
0.020000,14.410377,22.182209,0.291706 ,1.074497,1.989809    ,0.000000  ,3.897437
0.020000,14.394431,22.167218,0.313594 ,1.114293,1.989809    ,-0.000000 ,3.894923
0.020000,14.377867,22.151724,0.336278 ,1.154089,1.989809    ,0.000000  ,3.892292
0.020000,14.360673,22.135728,0.359757 ,1.193885,1.989809    ,-0.000000 ,3.889541
0.020000,14.342856,22.119245,0.384033 ,1.233681,1.989809    ,-0.000000 ,3.886668
0.020000,14.324400,22.102271,0.409105 ,1.273477,1.989809    ,0.000000  ,3.883669
0.020000,14.305309,22.084822,0.434972 ,1.313274,1.989809    ,-0.000000 ,3.880540
0.020000,14.285568,22.066893,0.461636 ,1.353070,1.989809    ,0.000000  ,3.877278
0.020000,14.265182,22.048502,0.489095 ,1.392866,1.989809    ,0.000000  ,3.873878
0.020000,14.244136,22.029648,0.517350 ,1.432662,1.989809    ,-0.000000 ,3.870337
0.020000,14.222426,22.010340,0.546401 ,1.472458,1.989809    ,0.000000  ,3.866649
