dt      ,x        ,y        ,position ,velocity,acceleration,jerk        ,heading
0.020000,13.721142,23.255129,0.000057 ,0.005685,0.284258    ,14.212918   ,3.928825
0.020000,13.721162,23.255150,0.000086 ,0.001443,-0.212092   ,-24.817529  ,3.928801
0.020000,13.721208,23.255196,0.000151 ,0.003248,0.090222    ,15.115726   ,3.928750
0.020000,13.721289,23.255277,0.000266 ,0.005775,0.126352    ,1.806492    ,3.928657
0.020000,13.721417,23.255405,0.000447 ,0.009026,0.162545    ,1.809632    ,3.928513
0.020000,13.721600,23.255589,0.000707 ,0.013003,0.198840    ,1.814777    ,3.928305
0.020000,13.721850,23.255840,0.001061 ,0.017708,0.235289    ,1.822434    ,3.928021
0.020000,13.722172,23.256163,0.001517 ,0.022785,0.253860    ,0.928525    ,3.927657
0.020000,13.722566,23.256557,0.002074 ,0.027876,0.254524    ,0.033202    ,3.927211
0.020000,13.720897,23.254888,0.004434 ,0.118008,4.506605    ,212.604095  ,3.926683
0.020000,13.717212,23.251207,0.009643 ,0.260454,7.122311    ,130.785295  ,3.926072
0.020000,13.713038,23.247044,0.015539 ,0.294759,1.715248    ,-270.353150 ,3.925379
0.020000,13.708367,23.242392,0.022130 ,0.329588,1.741432    ,1.309167    ,3.924601
0.020000,13.703206,23.237260,0.029409 ,0.363956,1.718385    ,-1.152346   ,3.923739
0.020000,13.697550,23.231646,0.037378 ,0.398448,1.724615    ,0.311492    ,3.922792
0.020000,13.691401,23.225555,0.046034 ,0.432772,1.716205    ,-0.420506   ,3.921758
0.020000,13.684755,23.218985,0.055379 ,0.467268,1.724811    ,0.430347    ,3.920636
0.020000,13.677617,23.211946,0.065403 ,0.501204,1.696765    ,-1.402311   ,3.919426
0.020000,13.669979,23.204432,0.076118 ,0.535734,1.726530    ,1.488219    ,3.918126
0.020000,13.661845,23.196452,0.087513 ,0.569767,1.701664    ,-1.243278   ,3.916735
0.020000,13.653214,23.188009,0.099586 ,0.603643,1.693767    ,-0.394846   ,3.915251
0.020000,13.644087,23.179108,0.112336 ,0.637492,1.692457    ,-0.065531   ,3.913674
0.020000,13.634459,23.169749,0.125762 ,0.671318,1.691292    ,-0.058203   ,3.912000
0.020000,13.624329,23.159936,0.139866 ,0.705191,1.693681    ,0.119420    ,3.910229
0.020000,13.613699,23.149675,0.154641 ,0.738718,1.676355    ,-0.866269   ,3.908358
0.020000,13.602567,23.138972,0.170083 ,0.772129,1.670512    ,-0.292155   ,3.906386
0.020000,13.590934,23.127831,0.186191 ,0.805398,1.663479    ,-0.351647   ,3.904310
0.020000,13.578794,23.116255,0.202966 ,0.838728,1.666465    ,0.149260    ,3.902128
0.020000,13.566148,23.104251,0.220401 ,0.871793,1.653258    ,-0.660327   ,3.899838
0.020000,13.552998,23.091825,0.238493 ,0.904599,1.640338    ,-0.645996   ,3.897437
0.020000,13.539342,23.078987,0.257237 ,0.937165,1.628262    ,-0.603819   ,3.894923
0.020000,13.525179,23.065739,0.276630 ,0.969642,1.623884    ,-0.218889   ,3.892292
0.020000,13.510503,23.052085,0.296675 ,1.002275,1.631614    ,0.386477    ,3.889541
0.020000,13.495322,23.038041,0.317356 ,1.034058,1.589189    ,-2.121216   ,3.886668
0.020000,13.479625,23.023605,0.338682 ,1.066267,1.610429    ,1.061967    ,3.883669
0.020000,13.463421,23.008794,0.360635 ,1.097674,1.570361    ,-2.003355   ,3.880540
0.020000,13.446699,22.993607,0.383224 ,1.129440,1.588266    ,0.895224    ,3.877278
0.020000,13.429468,22.978063,0.406430 ,1.160330,1.544507    ,-2.187929   ,3.873878
0.020000,13.411720,22.962163,0.430259 ,1.191451,1.556041    ,0.576657    ,3.870337
0.020000,13.393455,22.945918,0.454703 ,1.222176,1.536260    ,-0.989020   ,3.866649
0.020000,13.374675,22.929343,0.479752 ,1.252431,1.512760    ,-1.175017   ,3.862810
