dt      ,x        ,y        ,position ,velocity,acceleration,jerk        ,heading
0.020000,5.750247 ,18.250000,0.000057 ,0.005686,0.284309    ,14.215443   ,6.282988
0.020000,5.750234 ,18.250000,0.000070 ,0.000671,-0.250764   ,-26.753666  ,6.282998
0.020000,5.750203 ,18.250000,0.000100 ,0.001509,0.041911    ,14.633767   ,6.283023
0.020000,5.750150 ,18.250000,0.000154 ,0.002682,0.058620    ,0.835472    ,6.283065
0.020000,5.750066 ,18.250000,0.000238 ,0.004186,0.075246    ,0.831260    ,6.283132
0.020000,5.750870 ,18.250000,0.001042 ,0.040200,1.800678    ,86.271633   ,0.000043
0.020000,5.753493 ,18.250000,0.003664 ,0.131130,4.546499    ,137.291033  ,0.000174
0.020000,5.756865 ,18.250001,0.007037 ,0.168619,1.874469    ,-133.601477 ,0.000342
0.020000,5.760988 ,18.250003,0.011159 ,0.206127,1.875358    ,0.044412    ,0.000547
0.020000,5.765861 ,18.250006,0.016032 ,0.243655,1.876443    ,0.054285    ,0.000788
0.020000,5.771485 ,18.250011,0.021657 ,0.281210,1.877726    ,0.064134    ,0.001065
0.020000,5.777861 ,18.250019,0.028033 ,0.318794,1.879207    ,0.074066    ,0.001378
0.020000,5.784989 ,18.250030,0.035161 ,0.356412,1.880885    ,0.083863    ,0.001725
0.020000,5.792870 ,18.250045,0.043042 ,0.394067,1.882761    ,0.093819    ,0.002107
0.020000,5.801506 ,18.250065,0.051677 ,0.431764,1.884834    ,0.103673    ,0.002523
0.020000,5.810896 ,18.250091,0.061067 ,0.469506,1.887105    ,0.113527    ,0.002971
0.020000,5.821042 ,18.250124,0.071213 ,0.507297,1.889574    ,0.123457    ,0.003452
0.020000,5.831944 ,18.250164,0.082116 ,0.545142,1.892241    ,0.133324    ,0.003964
0.020000,5.843605 ,18.250214,0.093777 ,0.583044,1.895105    ,0.143238    ,0.004506
0.020000,5.856025 ,18.250273,0.106197 ,0.621007,1.898167    ,0.153091    ,0.005078
0.020000,5.869206 ,18.250344,0.119378 ,0.659036,1.901428    ,0.163028    ,0.005679
0.020000,5.883148 ,18.250428,0.133321 ,0.697134,1.904885    ,0.172886    ,0.006306
0.020000,5.897854 ,18.250525,0.148027 ,0.735305,1.908541    ,0.182778    ,0.006960
0.020000,5.913324 ,18.250638,0.163498 ,0.773552,1.912394    ,0.192659    ,0.007639
0.020000,5.929562 ,18.250768,0.179735 ,0.811881,1.916447    ,0.202634    ,0.008341
0.020000,5.946567 ,18.250916,0.196741 ,0.850295,1.920696    ,0.212479    ,0.009065
0.020000,5.964342 ,18.251084,0.214517 ,0.888798,1.925140    ,0.222190    ,0.009811
0.020000,5.982889 ,18.251273,0.233065 ,0.927394,1.929789    ,0.232449    ,0.010575
0.020000,6.002209 ,18.251485,0.252387 ,0.966086,1.934627    ,0.241871    ,0.011357
0.020000,6.022306 ,18.251721,0.272485 ,1.004880,1.939669    ,0.252144    ,0.012156
0.020000,6.043180 ,18.251983,0.293360 ,1.043778,1.944906    ,0.261826    ,0.012969
0.020000,6.064833 ,18.252273,0.315016 ,1.082785,1.950339    ,0.271645    ,0.013795
0.020000,6.087269 ,18.252592,0.337454 ,1.121904,1.955968    ,0.281471    ,0.014631
0.020000,6.110489 ,18.252942,0.360677 ,1.161140,1.961799    ,0.291518    ,0.015477
0.020000,6.134496 ,18.253323,0.384687 ,1.200496,1.967822    ,0.301190    ,0.016330
