dt      ,x        ,y        ,position ,velocity,acceleration,jerk      ,heading
0.020000,5.750000 ,17.000000,0.000057 ,0.005686,0.284309    ,14.215443 ,6.282988
0.020000,5.750000 ,17.000000,0.000284 ,0.017059,0.568618    ,14.215443 ,6.282998
0.020000,5.750000 ,17.000000,0.000796 ,0.034117,0.852927    ,14.215443 ,6.283023
0.020000,5.750000 ,17.000000,0.001706 ,0.056862,1.137235    ,14.215443 ,6.283065
0.020000,5.750000 ,17.000000,0.003127 ,0.085293,1.421544    ,14.215443 ,6.283132
0.020000,5.750924 ,17.000000,0.005174 ,0.119410,1.705853    ,14.215443 ,0.000043
0.020000,5.753711 ,17.000000,0.007961 ,0.159213,1.990162    ,14.215443 ,0.000174
0.020000,5.757293 ,17.000001,0.011543 ,0.199016,1.990162    ,0.000000  ,0.000342
0.020000,5.761671 ,17.000003,0.015921 ,0.238819,1.990162    ,-0.000000 ,0.000547
0.020000,5.766846 ,17.000007,0.021096 ,0.278623,1.990162    ,0.000000  ,0.000788
0.020000,5.772816 ,17.000012,0.027066 ,0.318426,1.990162    ,-0.000000 ,0.001065
0.020000,5.779583 ,17.000020,0.033833 ,0.358229,1.990162    ,0.000000  ,0.001378
0.020000,5.787145 ,17.000032,0.041395 ,0.398032,1.990162    ,0.000000  ,0.001725
0.020000,5.795504 ,17.000048,0.049754 ,0.437836,1.990162    ,-0.000000 ,0.002107
0.020000,5.804659 ,17.000069,0.058909 ,0.477639,1.990162    ,0.000000  ,0.002523
0.020000,5.814610 ,17.000097,0.068860 ,0.517442,1.990162    ,0.000000  ,0.002971
0.020000,5.825356 ,17.000131,0.079606 ,0.557245,1.990162    ,0.000000  ,0.003452
0.020000,5.836899 ,17.000174,0.091149 ,0.597049,1.990162    ,-0.000000 ,0.003964
0.020000,5.849238 ,17.000226,0.103488 ,0.636852,1.990162    ,0.000000  ,0.004506
0.020000,5.862373 ,17.000289,0.116623 ,0.676655,1.990162    ,-0.000000 ,0.005078
0.020000,5.876304 ,17.000364,0.130555 ,0.716458,1.990162    ,0.000000  ,0.005679
0.020000,5.891031 ,17.000452,0.145282 ,0.756262,1.990162    ,0.000000  ,0.006306
0.020000,5.906554 ,17.000555,0.160805 ,0.796065,1.990162    ,-0.000000 ,0.006960
0.020000,5.922873 ,17.000675,0.177124 ,0.835868,1.990162    ,0.000000  ,0.007639
