dt      ,x        ,y        ,position ,velocity,acceleration,jerk        ,heading
0.020000,5.749753 ,15.750000,0.000057 ,0.005686,0.284309    ,14.215443   ,6.282988
0.020000,5.749766 ,15.750000,0.000070 ,0.000671,-0.250764   ,-26.753666  ,6.282998
0.020000,5.749797 ,15.750000,0.000100 ,0.001509,0.041911    ,14.633767   ,6.283023
0.020000,5.749850 ,15.750000,0.000154 ,0.002682,0.058620    ,0.835472    ,6.283065
0.020000,5.749934 ,15.750000,0.000238 ,0.004186,0.075246    ,0.831260    ,6.283132
0.020000,5.750979 ,15.750000,0.001283 ,0.052242,2.402786    ,116.377030  ,0.000043
0.020000,5.753929 ,15.750000,0.004233 ,0.147493,4.762529    ,117.987133  ,0.000174
0.020000,5.757721 ,15.750001,0.008025 ,0.189610,2.105855    ,-132.833706 ,0.000342
0.020000,5.762355 ,15.750003,0.012659 ,0.231709,2.104967    ,-0.044405   ,0.000547
0.020000,5.767831 ,15.750007,0.018135 ,0.273787,2.103881    ,-0.054276   ,0.000788
0.020000,5.774148 ,15.750013,0.024451 ,0.315839,2.102598    ,-0.064177   ,0.001065
0.020000,5.781305 ,15.750022,0.031609 ,0.357861,2.101118    ,-0.073990   ,0.001378
0.020000,5.789302 ,15.750034,0.039606 ,0.399850,2.099439    ,-0.083958   ,0.001725
0.020000,5.798138 ,15.750051,0.048442 ,0.441801,2.097564    ,-0.093752   ,0.002107
0.020000,5.807812 ,15.750073,0.058116 ,0.483711,2.095490    ,-0.103667   ,0.002523
0.020000,5.818323 ,15.750102,0.068627 ,0.525575,2.093218    ,-0.113585   ,0.002971
0.020000,5.829671 ,15.750139,0.079975 ,0.567390,2.090750    ,-0.123424   ,0.003452
0.020000,5.841854 ,15.750184,0.092158 ,0.609152,2.088083    ,-0.133337   ,0.003964
0.020000,5.854871 ,15.750239,0.105175 ,0.650856,2.085219    ,-0.143201   ,0.004506
0.020000,5.868721 ,15.750305,0.119025 ,0.692499,2.082157    ,-0.153135   ,0.005078
0.020000,5.883402 ,15.750384,0.133707 ,0.734077,2.078897    ,-0.162979   ,0.005679
0.020000,5.898914 ,15.750477,0.149219 ,0.775586,2.075439    ,-0.172911   ,0.006306
0.020000,5.915254 ,15.750586,0.165559 ,0.817022,2.071783    ,-0.182804   ,0.006960
0.020000,5.932421 ,15.750711,0.182727 ,0.858380,2.067928    ,-0.192708   ,0.007639
0.020000,5.950414 ,15.750855,0.200720 ,0.899658,2.063878    ,-0.202505   ,0.008341
0.020000,5.969230 ,15.751019,0.219537 ,0.940851,2.059630    ,-0.212440   ,0.009065
0.020000,5.988868 ,15.751204,0.239176 ,0.981954,2.055179    ,-0.222518   ,0.009811
0.020000,6.009326 ,15.751413,0.259635 ,1.022965,2.050540    ,-0.231981   ,0.010575
0.020000,6.030603 ,15.751646,0.280913 ,1.063879,2.045692    ,-0.242359   ,0.011357
0.020000,6.052695 ,15.751906,0.303007 ,1.104692,2.040657    ,-0.251786   ,0.012156
0.020000,6.075601 ,15.752193,0.325915 ,1.145400,2.035420    ,-0.261852   ,0.012969
0.020000,6.099319 ,15.752511,0.349635 ,1.186000,2.029985    ,-0.271749   ,0.013795
0.020000,6.123846 ,15.752860,0.374164 ,1.226487,2.024352    ,-0.281622   ,0.014631
0.020000,6.149180 ,15.753241,0.399502 ,1.266858,2.018527    ,-0.291238   ,0.015477
0.020000,6.175319 ,15.753657,0.425644 ,1.307108,2.012503    ,-0.301242   ,0.016330
0.020000,6.202260 ,15.754108,0.452588 ,1.347233,2.006280    ,-0.311108   ,0.017188
0.020000,6.230001 ,15.754597,0.480333 ,1.387231,1.999865    ,-0.320783   ,0.018049
0.020000,6.258538 ,15.755125,0.508875 ,1.427096,1.993254    ,-0.330562   ,0.018911
0.020000,6.287869 ,15.755692,0.538211 ,1.466824,1.986439    ,-0.340710   ,0.019772
0.020000,6.317991 ,15.756301,0.568340 ,1.506413,1.979439    ,-0.350004   ,0.020630
0.020000,6.348901 ,15.756952,0.599257 ,1.545858,1.972240    ,-0.359977   ,0.021482
0.020000,6.380596 ,15.757646,0.630960 ,1.585155,1.964845    ,-0.369720   ,0.022325
0.020000,6.413074 ,15.758385,0.663446 ,1.624300,1.957253    ,-0.379612   ,0.023158
0.020000,6.446331 ,15.759169,0.696712 ,1.663289,1.949470    ,-0.389153   ,0.023979
0.020000,6.480363 ,15.759999,0.730754 ,1.702119,1.941490    ,-0.399019   ,0.024783
0.020000,6.515168 ,15.760876,0.765570 ,1.740786,1.933318    ,-0.408577   ,0.025569
0.020000,6.550741 ,15.761799,0.801155 ,1.779285,1.924949    ,-0.418442   ,0.026335
0.020000,6.587081 ,15.762770,0.837508 ,1.817612,1.916389    ,-0.428025   ,0.027077
0.020000,6.624182 ,15.763788,0.874623 ,1.855765,1.907623    ,-0.438268   ,0.027792
0.020000,6.662042 ,15.764854,0.912498 ,1.893738,1.898682    ,-0.447069   ,0.028479
0.020000,6.700656 ,15.765967,0.951128 ,1.931529,1.889532    ,-0.457509   ,0.029133
0.020000,6.740022 ,15.767126,0.990511 ,1.969133,1.880190    ,-0.467096   ,0.029751
0.020000,6.780135 ,15.768332,1.030642 ,2.006546,1.870656    ,-0.476723   ,0.030332
0.020000,6.820991 ,15.769583,1.071517 ,2.043765,1.860927    ,-0.486401   ,0.030871
0.020000,6.862586 ,15.770878,1.113133 ,2.080784,1.850995    ,-0.496605   ,0.031366
0.020000,6.904917 ,15.772215,1.155485 ,2.117602,1.840878    ,-0.505886   ,0.031813
0.020000,6.947979 ,15.773595,1.198569 ,2.154213,1.830557    ,-0.516037   ,0.032209
0.020000,6.991769 ,15.775013,1.242381 ,2.190614,1.820041    ,-0.525803   ,0.032550
0.020000,7.036281 ,15.776469,1.286917 ,2.226800,1.809328    ,-0.535652   ,0.032833
0.020000,7.081512 ,15.777960,1.332173 ,2.262769,1.798412    ,-0.545779   ,0.033056
0.020000,7.127457 ,15.779483,1.378143 ,2.298515,1.787303    ,-0.555438   ,0.033213
0.020000,7.174112 ,15.781036,1.424824 ,2.334035,1.775990    ,-0.565661   ,0.033302
0.020000,7.221472 ,15.782614,1.472210 ,2.369324,1.764477    ,-0.575660   ,0.033318
0.020000,7.269533 ,15.784215,1.520298 ,2.404379,1.752762    ,-0.585766   ,0.033259
0.020000,7.318290 ,15.785834,1.569082 ,2.439196,1.740844    ,-0.595910   ,0.033119
0.020000,7.367738 ,15.787467,1.618557 ,2.473771,1.728720    ,-0.606156   ,0.032896
0.020000,7.417873 ,15.789109,1.668719 ,2.508099,1.716395    ,-0.616285   ,0.032586
0.020000,7.468690 ,15.790756,1.719563 ,2.542176,1.703860    ,-0.626745   ,0.032184
0.020000,7.520184 ,15.792402,1.771083 ,2.575998,1.691122    ,-0.636912   ,0.031686
0.020000,7.572349 ,15.794040,1.823274 ,2.609562,1.678173    ,-0.647424   ,0.031088
0.020000,7.625182 ,15.795665,1.876131 ,2.642862,1.665017    ,-0.657813   ,0.030387
0.020000,7.678675 ,15.797269,1.929649 ,2.675895,1.651653    ,-0.668203   ,0.029577
0.020000,7.732826 ,15.798847,1.983822 ,2.708657,1.638082    ,-0.678523   ,0.028654
0.020000,7.787627 ,15.800390,2.038645 ,2.741143,1.624302    ,-0.689036   ,0.027614
0.020000,7.843073 ,15.801889,2.094112 ,2.773349,1.610310    ,-0.699562   ,0.026453
0.020000,7.899160 ,15.803338,2.150217 ,2.805271,1.596116    ,-0.709693   ,0.025165
0.020000,7.955881 ,15.804726,2.206956 ,2.836906,1.581714    ,-0.720130   ,0.023747
0.020000,8.013231 ,15.806044,2.264321 ,2.868248,1.567114    ,-0.729991   ,0.022194
0.020000,8.071204 ,15.807282,2.322306 ,2.899294,1.552311    ,-0.740132   ,0.020500
0.020000,8.129793 ,15.808430,2.380907 ,2.930040,1.537310    ,-0.750061   ,0.018662
0.020000,8.188994 ,15.809477,2.440117 ,2.960483,1.522115    ,-0.759748   ,0.016673
0.020000,8.248799 ,15.810411,2.499929 ,2.990618,1.506749    ,-0.768298   ,0.014530
0.020000,8.309202 ,15.811220,2.560338 ,3.020441,1.491189    ,-0.778019   ,0.012228
0.020000,8.370197 ,15.811891,2.621337 ,3.049951,1.475468    ,-0.786026   ,0.009760
