dt      ,x        ,y        ,position ,velocity,acceleration,jerk        ,heading
0.020000,5.752072 ,18.249998,0.000057 ,0.005714,0.285714    ,14.285714   ,6.281528
0.020000,5.752038 ,18.249998,0.000092 ,0.001719,-0.199772   ,-24.274312  ,6.281555
0.020000,5.751960 ,18.249998,0.000169 ,0.003867,0.107423    ,15.359739   ,6.281617
0.020000,5.751823 ,18.249999,0.000306 ,0.006875,0.150378    ,2.147743    ,6.281727
0.020000,5.751608 ,18.249999,0.000521 ,0.010741,0.193311    ,2.146648    ,6.281899
0.020000,5.751299 ,18.249999,0.000830 ,0.015465,0.236208    ,2.144851    ,6.282146
0.020000,5.750878 ,18.250000,0.001251 ,0.021046,0.279051    ,2.142171    ,6.282483
0.020000,5.750337 ,18.250000,0.001792 ,0.027053,0.300351    ,1.065020    ,6.282916
0.020000,5.751835 ,18.250000,0.003291 ,0.074918,2.393224    ,104.643645  ,0.000260
0.020000,5.756254 ,18.250003,0.007710 ,0.220958,7.302021    ,245.439822  ,0.000885
0.020000,5.761352 ,18.250009,0.012808 ,0.254909,1.697544    ,-280.223846 ,0.001605
0.020000,5.767132 ,18.250021,0.018588 ,0.288976,1.703362    ,0.290913    ,0.002422
0.020000,5.773590 ,18.250039,0.025046 ,0.322918,1.697094    ,-0.313432   ,0.003335
0.020000,5.780730 ,18.250067,0.032186 ,0.357001,1.704145    ,0.352556    ,0.004344
0.020000,5.788550 ,18.250105,0.040006 ,0.390982,1.699064    ,-0.254029   ,0.005448
0.020000,5.797049 ,18.250156,0.048505 ,0.424986,1.700184    ,0.056017    ,0.006648
0.020000,5.806231 ,18.250223,0.057687 ,0.459073,1.704335    ,0.207506    ,0.007943
0.020000,5.816092 ,18.250309,0.067549 ,0.493101,1.701433    ,-0.145062   ,0.009333
0.020000,5.826635 ,18.250415,0.078092 ,0.527147,1.702262    ,0.041420    ,0.010819
0.020000,5.837858 ,18.250545,0.089316 ,0.561207,1.703039    ,0.038856    ,0.012400
0.020000,5.849763 ,18.250703,0.101222 ,0.595282,1.703720    ,0.034040    ,0.014075
0.020000,5.862349 ,18.250891,0.113809 ,0.629368,1.704312    ,0.029633    ,0.015845
0.020000,5.875616 ,18.251114,0.127078 ,0.663465,1.704825    ,0.025659    ,0.017710
0.020000,5.889565 ,18.251374,0.141030 ,0.697570,1.705268    ,0.022143    ,0.019668
0.020000,5.904196 ,18.251677,0.155664 ,0.731722,1.707598    ,0.116489    ,0.021721
0.020000,5.919510 ,18.252026,0.170982 ,0.765885,1.708132    ,0.026695    ,0.023867
0.020000,5.935505 ,18.252426,0.186982 ,0.800024,1.706987    ,-0.057270   ,0.026106
0.020000,5.952184 ,18.252881,0.203667 ,0.834234,1.710477    ,0.174525    ,0.028439
0.020000,5.969545 ,18.253396,0.221036 ,0.868443,1.710457    ,-0.000979   ,0.030864
0.020000,5.987589 ,18.253976,0.239089 ,0.902681,1.711914    ,0.072821    ,0.033381
0.020000,6.006317 ,18.254626,0.257828 ,0.936932,1.712554    ,0.032024    ,0.035990
0.020000,6.025728 ,18.255351,0.277253 ,0.971257,1.716227    ,0.183626    ,0.038690
0.020000,6.045823 ,18.256157,0.297364 ,1.005557,1.715006    ,-0.061050   ,0.041481
0.020000,6.066602 ,18.257049,0.318162 ,1.039903,1.717306    ,0.114980    ,0.044362
0.020000,6.088066 ,18.258034,0.339649 ,1.074317,1.720687    ,0.169090    ,0.047333
0.020000,6.110215 ,18.259117,0.361824 ,1.108752,1.721760    ,0.053650    ,0.050393
0.020000,6.133048 ,18.260305,0.384688 ,1.143218,1.723286    ,0.076262    ,0.053542
0.020000,6.156567 ,18.261603,0.408243 ,1.177729,1.725539    ,0.112659    ,0.056778
0.020000,6.180771 ,18.263019,0.432488 ,1.212285,1.727810    ,0.113572    ,0.060101
0.020000,6.205661 ,18.264560,0.457426 ,1.246893,1.730406    ,0.129779    ,0.063511
0.020000,6.231238 ,18.266231,0.483058 ,1.281580,1.734363    ,0.197869    ,0.067006
0.020000,6.257502 ,18.268041,0.509384 ,1.316289,1.735451    ,0.054376    ,0.070585
0.020000,6.284452 ,18.269996,0.536405 ,1.351048,1.737924    ,0.123682    ,0.074248
0.020000,6.312090 ,18.272104,0.564123 ,1.385900,1.742633    ,0.235423    ,0.077994
0.020000,6.340415 ,18.274372,0.592539 ,1.420809,1.745413    ,0.139025    ,0.081821
0.020000,6.369429 ,18.276809,0.621654 ,1.455770,1.748083    ,0.133496    ,0.085728
0.020000,6.399131 ,18.279421,0.651471 ,1.490831,1.753039    ,0.247810    ,0.089715
0.020000,6.429521 ,18.282217,0.681990 ,1.525956,1.756267    ,0.161399    ,0.093780
0.020000,6.460601 ,18.285205,0.713213 ,1.561145,1.759422    ,0.157722    ,0.097921
0.020000,6.492371 ,18.288394,0.745142 ,1.596460,1.765757    ,0.316765    ,0.102138
0.020000,6.524830 ,18.291791,0.777779 ,1.631843,1.769166    ,0.170454    ,0.106429
0.020000,6.557980 ,18.295406,0.811125 ,1.667315,1.773580    ,0.220672    ,0.110792
0.020000,6.591820 ,18.299247,0.845183 ,1.702889,1.778718    ,0.256896    ,0.115225
0.020000,6.626352 ,18.303322,0.879954 ,1.738569,1.783973    ,0.262761    ,0.119728
0.020000,6.661575 ,18.307641,0.915441 ,1.774356,1.789363    ,0.269509    ,0.124298
0.020000,6.697491 ,18.312213,0.951647 ,1.810254,1.794905    ,0.277111    ,0.128934
0.020000,6.734098 ,18.317047,0.988572 ,1.846266,1.800616    ,0.285538    ,0.133634
0.020000,6.771399 ,18.322152,1.026220 ,1.882409,1.807134    ,0.325887    ,0.138395
0.020000,6.809393 ,18.327538,1.064594 ,1.918688,1.813965    ,0.341541    ,0.143216
0.020000,6.848080 ,18.333213,1.103695 ,1.955071,1.819159    ,0.259739    ,0.148095
0.020000,6.887462 ,18.339188,1.143527 ,1.991610,1.826939    ,0.389010    ,0.153029
0.020000,6.927538 ,18.345471,1.184093 ,2.028288,1.833900    ,0.348042    ,0.158017
0.020000,6.968309 ,18.352074,1.225395 ,2.065109,1.841015    ,0.355736    ,0.163055
0.020000,7.009775 ,18.359004,1.267437 ,2.102077,1.848414    ,0.369949    ,0.168141
0.020000,7.051938 ,18.366272,1.310221 ,2.139220,1.857172    ,0.437921    ,0.173274
0.020000,7.094796 ,18.373888,1.353751 ,2.176503,1.864112    ,0.346972    ,0.178450
0.020000,7.138352 ,18.381862,1.398031 ,2.213956,1.872676    ,0.428211    ,0.183666
0.020000,7.182604 ,18.390203,1.443062 ,2.251584,1.881380    ,0.435169    ,0.188921
0.020000,7.227554 ,18.398921,1.488850 ,2.289392,1.890418    ,0.451940    ,0.194211
0.020000,7.273203 ,18.408026,1.535398 ,2.327373,1.899070    ,0.432591    ,0.199533
0.020000,7.319549 ,18.417528,1.582708 ,2.365539,1.908264    ,0.459712    ,0.204884
0.020000,7.366595 ,18.427436,1.630786 ,2.403899,1.918005    ,0.487050    ,0.210262
0.020000,7.414341 ,18.437761,1.679635 ,2.442447,1.927388    ,0.469145    ,0.215662
0.020000,7.462786 ,18.448512,1.729259 ,2.481190,1.937150    ,0.488105    ,0.221083
0.020000,7.511931 ,18.459698,1.779662 ,2.520132,1.947113    ,0.498152    ,0.226521
0.020000,7.561778 ,18.471330,1.830847 ,2.559288,1.957814    ,0.535024    ,0.231972
0.020000,7.612326 ,18.483417,1.882820 ,2.598647,1.967964    ,0.507484    ,0.237434
0.020000,7.663576 ,18.495968,1.935585 ,2.638217,1.978471    ,0.525383    ,0.242903
0.020000,7.715528 ,18.508993,1.989145 ,2.678007,1.989526    ,0.552738    ,0.248374
0.020000,7.768183 ,18.522501,2.043505 ,2.718012,2.000251    ,0.536255    ,0.253846
