dt      ,x        ,y        ,position ,velocity,acceleration,jerk      ,heading
0.020000,5.750000 ,17.000000,0.000057 ,0.005712,0.285580    ,14.278997 ,6.281528
0.020000,5.750000 ,17.000000,0.000286 ,0.017135,0.571160    ,14.278997 ,6.281555
0.020000,5.750000 ,17.000000,0.000800 ,0.034270,0.856740    ,14.278997 ,6.281617
0.020000,5.750000 ,17.000000,0.001713 ,0.057116,1.142320    ,14.278997 ,6.281727
0.020000,5.750000 ,17.000000,0.003141 ,0.085674,1.427900    ,14.278997 ,6.281899
0.020000,5.750000 ,17.000000,0.005198 ,0.119944,1.713480    ,14.278997 ,6.282146
0.020000,5.750000 ,17.000000,0.007996 ,0.159925,1.999060    ,14.278997 ,6.282483
0.020000,5.750000 ,17.000000,0.011595 ,0.199906,1.999060    ,-0.000000 ,6.282915
0.020000,5.752152 ,17.000000,0.015992 ,0.239887,1.999060    ,0.000000  ,0.000259
0.020000,5.757350 ,17.000003,0.021190 ,0.279868,1.999060    ,0.000000  ,0.000883
0.020000,5.763346 ,17.000011,0.027187 ,0.319850,1.999060    ,-0.000000 ,0.001604
0.020000,5.770144 ,17.000024,0.033984 ,0.359831,1.999060    ,0.000000  ,0.002420
0.020000,5.777739 ,17.000046,0.041580 ,0.399812,1.999060    ,-0.000000 ,0.003333
0.020000,5.786136 ,17.000078,0.049976 ,0.439793,1.999060    ,0.000000  ,0.004341
0.020000,5.795332 ,17.000123,0.059172 ,0.479774,1.999060    ,-0.000000 ,0.005444
0.020000,5.805326 ,17.000184,0.069167 ,0.519755,1.999060    ,0.000000  ,0.006644
0.020000,5.816121 ,17.000263,0.079962 ,0.559737,1.999060    ,-0.000000 ,0.007938
0.020000,5.827716 ,17.000363,0.091557 ,0.599718,1.999060    ,0.000000  ,0.009328
0.020000,5.840109 ,17.000487,0.103951 ,0.639699,1.999060    ,0.000000  ,0.010813
0.020000,5.853302 ,17.000641,0.117145 ,0.679680,1.999060    ,0.000000  ,0.012393
0.020000,5.867294 ,17.000826,0.131138 ,0.719661,1.999060    ,0.000000  ,0.014068
0.020000,5.882086 ,17.001047,0.145931 ,0.759643,1.999060    ,-0.000000 ,0.015837
0.020000,5.897676 ,17.001308,0.161524 ,0.799624,1.999060    ,0.000000  ,0.017701
0.020000,5.914065 ,17.001615,0.177916 ,0.839605,1.999060    ,0.000000  ,0.019658
0.020000,5.931253 ,17.001970,0.195108 ,0.879586,1.999060    ,0.000000  ,0.021710
0.020000,5.949241 ,17.002380,0.213100 ,0.919567,1.999060    ,-0.000000 ,0.023855
0.020000,5.968026 ,17.002849,0.231891 ,0.959549,1.999060    ,0.000000  ,0.026093
0.020000,5.987609 ,17.003383,0.251482 ,0.999530,1.999060    ,0.000000  ,0.028425
0.020000,6.007991 ,17.003987,0.271872 ,1.039511,1.999060    ,0.000000  ,0.030848
0.020000,6.029170 ,17.004668,0.293062 ,1.079492,1.999060    ,-0.000000 ,0.033364
0.020000,6.051146 ,17.005430,0.315052 ,1.119473,1.999060    ,0.000000  ,0.035972
0.020000,6.073920 ,17.006280,0.337841 ,1.159455,1.999060    ,0.000000  ,0.038671
0.020000,6.097489 ,17.007225,0.361430 ,1.199436,1.999060    ,-0.000000 ,0.041461
0.020000,6.121855 ,17.008271,0.385818 ,1.239417,1.999060    ,0.000000  ,0.044340
0.020000,6.147017 ,17.009425,0.411007 ,1.279398,1.999060    ,0.000000  ,0.047310
0.020000,6.172974 ,17.010694,0.436994 ,1.319379,1.999060    ,0.000000  ,0.050369
0.020000,6.199725 ,17.012084,0.463782 ,1.359360,1.999060    ,-0.000000 ,0.053516
0.020000,6.227270 ,17.013605,0.491369 ,1.399342,1.999060    ,0.000000  ,0.056751
0.020000,6.255608 ,17.015262,0.519755 ,1.439323,1.999060    ,0.000000  ,0.060073
0.020000,6.284739 ,17.017064,0.548942 ,1.479304,1.999060    ,-0.000000 ,0.063481
0.020000,6.314661 ,17.019018,0.578928 ,1.519285,1.999060    ,0.000000  ,0.066974
0.020000,6.345374 ,17.021133,0.609713 ,1.559266,1.999060    ,0.000000  ,0.070552
0.020000,6.376876 ,17.023418,0.641298 ,1.599248,1.999060    ,0.000000  ,0.074213
0.020000,6.409167 ,17.025879,0.673683 ,1.639229,1.999060    ,0.000000  ,0.077957
0.020000,6.442246 ,17.028527,0.706867 ,1.679210,1.999060    ,-0.000000 ,0.081783
0.020000,6.476111 ,17.031369,0.740851 ,1.719191,1.999060    ,0.000000  ,0.085688
0.020000,6.510761 ,17.034415,0.775635 ,1.759172,1.999060    ,0.000000  ,0.089673
0.020000,6.546195 ,17.037674,0.811218 ,1.799154,1.999060    ,-0.000000 ,0.093736
0.020000,6.582410 ,17.041154,0.847601 ,1.839135,1.999060    ,0.000000  ,0.097876
0.020000,6.619407 ,17.044866,0.884784 ,1.879116,1.999060    ,0.000000  ,0.102091
0.020000,6.657183 ,17.048818,0.922766 ,1.919097,1.999060    ,-0.000000 ,0.106380
0.020000,6.695737 ,17.053020,0.961548 ,1.959078,1.999060    ,0.000000  ,0.110741
0.020000,6.735066 ,17.057481,1.001129 ,1.999060,1.999060    ,-0.000000 ,0.115173
0.020000,6.775169 ,17.062212,1.041510 ,2.039041,1.999060    ,0.000000  ,0.119674
0.020000,6.816043 ,17.067222,1.082691 ,2.079022,1.999060    ,-0.000000 ,0.124242
0.020000,6.857688 ,17.072521,1.124671 ,2.119003,1.999060    ,0.000000  ,0.128876
0.020000,6.900099 ,17.078119,1.167451 ,2.158984,1.999060    ,0.000000  ,0.133574
0.020000,6.943277 ,17.084025,1.211030 ,2.198965,1.999060    ,0.000000  ,0.138333
0.020000,6.987217 ,17.090251,1.255409 ,2.238947,1.999060    ,0.000000  ,0.143152
0.020000,7.031918 ,17.096805,1.300588 ,2.278928,1.999060    ,-0.000000 ,0.148029
0.020000,7.077376 ,17.103699,1.346566 ,2.318909,1.999060    ,0.000000  ,0.152962
0.020000,7.123590 ,17.110942,1.393344 ,2.358890,1.999060    ,-0.000000 ,0.157947
0.020000,7.170556 ,17.118544,1.440922 ,2.398871,1.999060    ,0.000000  ,0.162983
0.020000,7.218272 ,17.126515,1.489299 ,2.438853,1.999060    ,0.000000  ,0.168068
0.020000,7.266735 ,17.134866,1.538476 ,2.478834,1.999060    ,0.000000  ,0.173199
0.020000,7.315941 ,17.143606,1.588453 ,2.518815,1.999060    ,0.000000  ,0.178373
0.020000,7.365888 ,17.152745,1.639229 ,2.558796,1.999060    ,-0.000000 ,0.183588
0.020000,7.416572 ,17.162294,1.690805 ,2.598777,1.999060    ,0.000000  ,0.188840
0.020000,7.467990 ,17.172262,1.743180 ,2.638759,1.999060    ,-0.000000 ,0.194128
0.020000,7.520138 ,17.182659,1.796355 ,2.678740,1.999060    ,0.000000  ,0.199449
0.020000,7.573014 ,17.193495,1.850329 ,2.718721,1.999060    ,0.000000  ,0.204798
0.020000,7.626613 ,17.204779,1.905104 ,2.758702,1.999060    ,0.000000  ,0.210174
0.020000,7.680933 ,17.216520,1.960678 ,2.798683,1.999060    ,0.000000  ,0.215573
0.020000,7.735968 ,17.228728,2.017051 ,2.838665,1.999060    ,-0.000000 ,0.220993
0.020000,7.791717 ,17.241412,2.074224 ,2.878646,1.999060    ,0.000000  ,0.226429
0.020000,7.848174 ,17.254581,2.132197 ,2.918627,1.999060    ,-0.000000 ,0.231879
0.020000,7.905336 ,17.268244,2.190969 ,2.958608,1.999060    ,0.000000  ,0.237339
0.020000,7.963199 ,17.282409,2.250541 ,2.998589,1.999060    ,0.000000  ,0.242806
